Time,Position,Velocity,Effort
1723756932.340304,"[ 0.00000000e+00 -4.63390030e-05  2.92903312e-01 -3.14146456e+00
 -2.25234372e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -3.24051211e-04  2.24180906e-02  1.32676429e-05
  8.18395312e-02  1.05819570e-05  1.85184257e-05  0.00000000e+00]","[ 0.         -0.76272392 10.19565296 -0.70487034 -3.80705142  0.20311444
 -0.70407283 -0.02217932]"
1723756932.3421268,"[ 0.00000000e+00 -4.74042674e-05  2.92932240e-01 -3.14146456e+00
 -2.25225957e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -3.35536874e-04  2.94406258e-02  1.32574726e-05
  8.53508009e-02  1.05899522e-05  1.85184257e-05  0.00000000e+00]","[ 0.         -0.73849088 10.02121162 -0.7227512  -3.6990602   0.20606041
 -0.69763488 -0.01430147]"
1723756932.343963,"[ 0.00000000e+00 -4.90021641e-05  2.93001582e-01 -3.14146456e+00
 -2.25207874e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -3.58853512e-04  3.67705481e-02  1.32574726e-05
  8.88620706e-02  1.05819570e-05  1.85186086e-05  0.00000000e+00]","[ 0.         -0.77911454  9.77034092 -0.74689895 -3.43840575  0.20159383
 -0.63243395 -0.02295255]"
1723756932.345753,"[ 0.00000000e+00 -5.06000607e-05  2.93084240e-01 -3.14146456e+00
 -2.25189818e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -4.27531697e-04  4.15950101e-02  1.32574726e-05
  9.23733403e-02  1.05899522e-05  1.85184257e-05  0.00000000e+00]","[ 0.         -0.78542948  9.51621437 -0.75681996 -3.27121592  0.19200554
 -0.60525894 -0.02389103]"
1723756932.3469908,"[ 0.00000000e+00 -5.21979574e-05  2.93173789e-01 -3.14146456e+00
 -2.25170084e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -4.82532735e-04  4.61866702e-02  1.32574726e-05
  9.72981660e-02  1.05819570e-05  1.85184257e-05  0.00000000e+00]","[ 0.         -0.78975511  9.26115036 -0.7812826  -3.09261322  0.19872077
 -0.57759899 -0.01056141]"
1723756932.3488078,"[ 0.00000000e+00 -5.32632218e-05  2.93221060e-01 -3.14146456e+00
 -2.25160443e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -5.07815471e-04  4.80773522e-02  1.32675109e-05
  9.77752879e-02  1.05820616e-05  1.85325998e-05  0.00000000e+00]","[ 0.00000000e+00 -8.09103251e-01  9.15169144e+00 -7.92377591e-01
 -3.07246065e+00  1.99703917e-01 -5.74589252e-01 -8.85930844e-03]"
1723756932.3505769,"[ 0.00000000e+00 -5.48611185e-05  2.93318432e-01 -3.14146456e+00
 -2.25140656e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -5.72633600e-04  4.64567646e-02  7.95448397e-06
  1.01556652e-01  1.05819570e-05  1.05820616e-05  0.00000000e+00]","[ 0.         -0.80749875  8.94494724 -0.79605925 -3.08412361  0.21559222
 -0.55584192 -0.02660683]"
1723756932.3524222,"[ 0.00000000e+00 -5.59263829e-05  2.93362973e-01 -3.14146456e+00
 -2.25129817e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -6.08611632e-04  4.50605775e-02  7.95456321e-06
  1.02062761e-01  1.05819570e-05  1.05819570e-05  0.00000000e+00]","[ 0.         -0.77639741  8.86186695 -0.80034107 -3.13151121  0.22121586
 -0.55923867 -0.0282129 ]"
1723756932.353599,"[ 0.00000000e+00 -5.69916473e-05  2.93451590e-01 -3.14146509e+00
 -2.25109523e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -6.58857536e-04  4.29454991e-02  2.65149457e-06
  1.03177236e-01  1.05900569e-05  1.05819570e-05  0.00000000e+00]","[ 0.         -0.8123427   8.78144073 -0.80159539 -3.24030423  0.23345476
 -0.56260633 -0.02927461]"
1723756932.3554695,"[ 0.00000000e+00 -5.91221762e-05  2.93531485e-01 -3.14146509e+00
 -2.25089044e+00 -1.01200121e-05  9.60031223e-01  1.57079353e+00]","[ 0.00000000e+00 -6.99994598e-04  3.99744266e-02  2.65149457e-06
  1.02907141e-01  1.05819570e-05  1.05819570e-05  0.00000000e+00]","[ 0.         -0.79861861  8.68084526 -0.80334818 -3.40712523  0.21735942
 -0.58739156 -0.01775248]"
