Time,Position,Velocity,Effort
1723765507.7396972,"[ 0.00000000e+00 -3.20261100e-02  2.93964948e-01  3.14146535e+00
 -2.22752706e+00  1.09310986e-04  9.60001929e-01  1.57072895e+00]","[ 0.00000000e+00 -1.82559443e-01  6.36358718e-05  2.64748806e-06
  4.54033845e-01  1.21692507e-04 -1.13843115e-04  1.05819570e-05]","[ 0.         -0.9701345   8.76790142 -1.243325   -1.08074033  0.13496211
 -1.08758795 -0.02146498]"
1723765507.7450485,"[ 0.00000000e+00 -3.27403698e-02  2.93965380e-01  3.14146535e+00
 -2.22568229e+00  1.09310986e-04  9.60000930e-01  1.57072895e+00]","[ 0.00000000e+00 -1.79702654e-01  6.89395431e-05  2.64748806e-06
  4.62136779e-01  1.13756038e-04 -1.21692507e-04  1.05819570e-05]","[ 0.         -0.82406825  8.82774734 -1.16959536 -1.11894381  0.09485942
 -1.08899736 -0.03464084]"
1723765507.7473521,"[ 0.00000000e+00 -3.36474425e-02  2.93965380e-01  3.14146535e+00
 -2.22334323e+00  1.09310986e-04  9.59999998e-01  1.57072895e+00]","[ 0.00000000e+00 -1.78547141e-01  6.36352378e-05  2.64751422e-06
  4.69969602e-01  1.03174077e-04 -1.32374402e-04  1.05739739e-05]","[ 0.         -0.74702543  8.91197014 -1.07323444 -1.19440353  0.06934574
 -1.1037941  -0.02813071]"
1723765507.7502508,"[ 0.00000000e+00 -3.39995124e-02  2.93965380e-01  3.14146535e+00
 -2.22237571e+00  1.09310986e-04  9.59999998e-01  1.57072895e+00]","[ 0.00000000e+00 -1.78083718e-01  6.36358718e-05  2.64748806e-06
  4.72949313e-01  1.03174077e-04 -1.32274460e-04  1.05819570e-05]","[ 0.         -0.70518452  8.94896793 -1.09451175 -1.2588979   0.07734178
 -1.13045204 -0.0486791 ]"
1723765507.7520084,"[ 0.00000000e+00 -3.45294814e-02  2.93965846e-01  3.14146535e+00
 -2.22094346e+00  1.09310986e-04  9.59998134e-01  1.57072895e+00]","[ 0.00000000e+00 -1.73402580e-01  6.36358718e-05  2.64551540e-06
  4.72197004e-01  9.53095680e-05 -1.42856421e-04  1.05819570e-05]","[ 0.         -0.685642    9.12668037 -1.07390416 -1.32774532  0.08782376
 -1.1988405  -0.06385319]"
1723765507.7544081,"[ 0.00000000e+00 -3.48693008e-02  2.93965846e-01  3.14146535e+00
 -2.22000816e+00  1.09310986e-04  9.59998134e-01  1.57072895e+00]","[ 0.00000000e+00 -1.71241807e-01  5.83322980e-05  2.64748806e-06
  4.74561258e-01  8.46556558e-05 -1.43179287e-04  1.05819570e-05]","[ 0.         -0.70902717  9.20855904 -1.05598819 -1.22401977  0.07714602
 -1.18945134 -0.06092333]"
1723765507.7561424,"[ 0.00000000e+00 -3.52149791e-02  2.93965846e-01  3.14146535e+00
 -2.21907498e+00  1.09310986e-04  9.59998134e-01  1.57072895e+00]","[ 0.00000000e+00 -1.67290758e-01  5.83328791e-05  2.64748806e-06
  4.72940691e-01  8.47204549e-05 -1.43180701e-04  1.05899522e-05]","[ 0.         -0.69230807  9.23377419 -1.07484019 -1.14360929  0.07327907
 -1.16118157 -0.04719903]"
1723765507.7579281,"[ 0.00000000e+00 -3.55446784e-02  2.93965846e-01  3.14146535e+00
 -2.21810719e+00  1.09310986e-04  9.59997135e-01  1.57072895e+00]","[ 0.00000000e+00 -1.66920246e-01  5.56813848e-05  2.64751422e-06
  4.73480880e-01  7.67191870e-05 -1.51135188e-04  1.05819570e-05]","[ 0.         -0.76838005  9.24286175 -1.10041177 -1.01754892  0.04984839
 -1.15384519 -0.06573623]"
1723765507.7591152,"[ 0.00000000e+00 -3.57236429e-02  2.93965846e-01  3.14146535e+00
 -2.21764061e+00  1.09310986e-04  9.59997135e-01  1.57072895e+00]","[ 0.00000000e+00 -1.68516412e-01  5.56808321e-05  2.64748806e-06
  4.73210769e-01  7.67191870e-05 -1.51133693e-04  1.05819570e-05]","[ 0.         -0.77448428  9.22540188 -1.11799431 -0.92170221  0.05062552
 -1.17537248 -0.07003448]"
1723765507.7609055,"[ 0.00000000e+00 -3.60560054e-02  2.93965846e-01  3.14146535e+00
 -2.21667255e+00  1.09310986e-04  9.59997135e-01  1.57072895e+00]","[ 0.00000000e+00 -1.68540829e-01  5.56813848e-05  2.64548924e-06
  4.72197004e-01  7.67199429e-05 -1.51020918e-04  1.05819570e-05]","[ 0.         -0.79390925  9.28958035 -1.0967952  -0.747738    0.04023174
 -1.19205332 -0.08507738]"
