Time,Position,Velocity,Effort
1723827103.0363438,"[ 0.00000000e+00 -2.09324462e-04  2.99741577e-01 -3.14147015e+00
 -2.26917437e+00  1.99526533e-06  9.71971173e-01  1.57078408e+00]","[ 0.00000000e+00 -2.94406258e-02  4.75371550e-02  7.95448397e-06
 -1.26984735e-04  2.83281212e-04 -5.82887721e-05  0.00000000e+00]","[ 0.         -2.01459527  9.71244907 -1.92741811 -4.4244833   0.58768749
 -0.69560456 -0.37046438]"
1723827103.0382254,"[ 0.00000000e+00 -2.91882455e-04  2.99835720e-01 -3.14147015e+00
 -2.26917437e+00  2.94657124e-06  9.71971173e-01  1.57078408e+00]","[ 0.00000000e+00 -4.23798686e-02  4.82984612e-02  7.95448397e-06
 -1.27080686e-04  2.83495384e-04 -5.82887721e-05  0.00000000e+00]","[ 0.         -1.99088228  9.71716499 -1.86824143 -4.38582087  0.58161116
 -0.67995071 -0.3527768 ]"
1723827103.0393913,"[ 0.00000000e+00 -3.36090930e-04  2.99885754e-01 -3.14147015e+00
 -2.26917490e+00  2.94657124e-06  9.71971173e-01  1.57078408e+00]","[ 0.00000000e+00 -4.51062798e-02  5.07783261e-02  7.95456321e-06
 -1.32574732e-04  2.83498212e-04 -5.82887721e-05  0.00000000e+00]","[ 0.         -1.96941853  9.71952915 -1.83049071 -4.39482164  0.58379245
 -0.67429495 -0.38174337]"
1723827103.0411503,"[ 0.00000000e+00 -4.38888948e-04  2.99993678e-01 -3.14147015e+00
 -2.26917490e+00  2.94657124e-06  9.71972172e-01  1.57078408e+00]","[ 0.00000000e+00 -5.45596902e-02  5.32092012e-02  7.95448397e-06
 -1.32274460e-04  2.83495384e-04 -4.76547840e-05  0.00000000e+00]","[ 0.         -1.90420043  9.7077589  -1.75608575 -4.43349409  0.56970799
 -0.65608323 -0.38927242]"
1723827103.0429914,"[ 0.00000000e+00 -5.68318577e-04  3.00103867e-01 -3.14146962e+00
 -2.26917544e+00  3.89787716e-06  9.71972172e-01  1.57078408e+00]","[ 0.00000000e+00 -6.56336883e-02  5.44167575e-02  1.32574726e-05
 -1.37566802e-04  2.94093347e-04 -4.76908124e-05  0.00000000e+00]","[ 0.         -1.78702652  9.68753624 -1.7109338  -4.51073408  0.57290733
 -0.6500814  -0.40623337]"
1723827103.0448399,"[ 0.00000000e+00 -6.38093397e-04  3.00159460e-01 -3.14146908e+00
 -2.26917570e+00  3.89787716e-06  9.71972172e-01  1.57078408e+00]","[ 0.00000000e+00 -7.07655415e-02  5.64503723e-02  1.85602774e-05
 -1.40210929e-04  2.83495384e-04 -4.76908124e-05  0.00000000e+00]","[ 0.         -1.73565125  9.66133308 -1.69651556 -4.56143761  0.55201286
 -0.65711331 -0.40857244]"
1723827103.0466228,"[ 0.00000000e+00 -7.90958844e-04  3.00279769e-01 -3.14146908e+00
 -2.26917677e+00  4.84918332e-06  9.71972172e-01  1.57078408e+00]","[ 0.00000000e+00 -7.57320789e-02  6.29327103e-02  1.85462435e-05
 -1.50906827e-04  2.94096273e-04 -4.76912879e-05  0.00000000e+00]","[ 0.         -1.59934402  9.60484886 -1.62163627 -4.62448168  0.5204463
 -0.656385   -0.39612994]"
1723827103.0484676,"[ 0.00000000e+00 -9.49150613e-04  3.00417521e-01 -3.14146908e+00
 -2.26917757e+00  4.84918332e-06  9.71972172e-01  1.57078408e+00]","[ 0.00000000e+00 -8.15694367e-02  6.86047607e-02  1.85604623e-05
 -1.58729359e-04  2.94093347e-04 -4.76908124e-05  0.00000000e+00]","[ 0.         -1.50468969  9.57648277 -1.55811942 -4.76711082  0.53516245
 -0.63651615 -0.3926563 ]"
1723827103.0503244,"[ 0.00000000e+00 -1.11426660e-03  3.00557570e-01 -3.14146882e+00
 -2.26917863e+00  4.84918332e-06  9.71972172e-01  1.57078408e+00]","[ 0.00000000e+00 -8.42704147e-02  7.26562194e-02  2.11959173e-05
 -1.69439236e-04  2.83495384e-04 -4.76908124e-05  0.00000000e+00]","[ 0.         -1.39100111  9.54051304 -1.51644671 -4.87435055  0.51060283
 -0.61632949 -0.3953411 ]"
1723827103.052155,"[ 0.00000000e+00 -1.20481408e-03  3.00631506e-01 -3.14146882e+00
 -2.26917890e+00  5.80048898e-06  9.71972172e-01  1.57078408e+00]","[ 0.00000000e+00 -8.53416380e-02  7.50110197e-02  2.64748795e-05
 -1.72086727e-04  2.94093347e-04 -4.76903370e-05  0.00000000e+00]","[ 0.         -1.36663806  9.48434734 -1.50398839 -4.93576622  0.53005934
 -0.6141929  -0.37938899]"
1723827103.0532746,"[ 0.00000000e+00 -1.38164797e-03  3.00791295e-01 -3.14146882e+00
 -2.26917943e+00  5.80048898e-06  9.71973104e-01  1.57078408e+00]","[ 0.00000000e+00 -9.12929458e-02  7.83282698e-02  2.64548924e-05
 -1.75529526e-04  2.94093347e-04 -3.71209245e-05  0.00000000e+00]","[ 0.         -1.35250342  9.39013577 -1.49859011 -4.97245693  0.52200425
 -0.59226739 -0.38741452]"
1723827103.055774,"[ 0.00000000e+00 -1.57286294e-03  3.00946025e-01 -3.14146882e+00
 -2.26917996e+00  6.75179464e-06  9.71973104e-01  1.57078408e+00]","[ 0.00000000e+00 -9.42002438e-02  7.83282698e-02  2.64748795e-05
 -1.82009749e-04  2.94093347e-04 -2.91443860e-05  0.00000000e+00]","[ 0.         -1.30477011  9.27909946 -1.49281049 -4.99999046  0.53343654
 -0.59990031 -0.37960806]"
1723827103.0569859,"[ 0.00000000e+00 -1.76514317e-03  3.01108578e-01 -3.14146882e+00
 -2.26918050e+00  6.75179464e-06  9.71973104e-01  1.57078408e+00]","[ 0.00000000e+00 -9.87555143e-02  7.91385615e-02  2.64548924e-05
 -1.89759607e-04  2.94096273e-04 -2.91223691e-05  0.00000000e+00]","[ 0.         -1.28828883  9.23804855 -1.51254141 -5.01568127  0.55614805
 -0.59367311 -0.38573867]"
1723827103.0592856,"[ 0.00000000e+00 -1.97180447e-03  3.01261976e-01 -3.14146882e+00
 -2.26918050e+00  7.70310080e-06  9.71973104e-01  1.57078408e+00]","[ 0.00000000e+00 -1.02096849e-01  7.31555038e-02  2.64751417e-05
 -1.86143517e-04  3.02041836e-04 -2.91443860e-05  0.00000000e+00]","[ 0.         -1.33227968  9.15894127 -1.57092667 -5.0129137   0.55657947
 -0.55089468 -0.37866732]"
1723827103.060474,"[ 0.00000000e+00 -2.07620039e-03  3.01333149e-01 -3.14146882e+00
 -2.26918076e+00  7.70310080e-06  9.71974036e-01  1.57078408e+00]","[ 0.00000000e+00 -1.05878214e-01  7.21160221e-02  2.64748795e-05
 -1.89054074e-04  2.93871179e-04 -1.85464284e-05  0.00000000e+00]","[ 0.         -1.33750498  9.17736053 -1.58546793 -5.0073123   0.57638228
 -0.54217124 -0.37471879]"
1723827103.0622945,"[ 0.00000000e+00 -2.29617749e-03  3.01471367e-01 -3.14146908e+00
 -2.26918076e+00  8.65440697e-06  9.71974036e-01  1.57078408e+00]","[ 0.00000000e+00 -1.12900745e-01  6.94150525e-02  2.38094022e-05
 -1.87039961e-04  3.02041836e-04 -1.85464284e-05  0.00000000e+00]","[ 0.         -1.38852549  9.25213528 -1.62076032 -5.00082779  0.59988022
 -0.51357651 -0.39014882]"
1723827103.0641541,"[ 0.00000000e+00 -2.53799252e-03  3.01607255e-01 -3.14146908e+00
 -2.26918183e+00  9.60571313e-06  9.71974036e-01  1.57078408e+00]","[ 0.00000000e+00 -1.19801769e-01  6.57013367e-02  2.38276277e-05
 -1.91960502e-04  3.12639768e-04 -1.05979587e-05  0.00000000e+00]","[ 0.         -1.44582713  9.32629013 -1.66295135 -5.02979803  0.60787296
 -0.52070761 -0.40233207]"
1723827103.0652974,"[ 0.00000000e+00 -2.65730214e-03  3.01671104e-01 -3.14146908e+00
 -2.26918183e+00  9.60571313e-06  9.71974036e-01  1.57078408e+00]","[ 0.00000000e+00 -1.21003670e-01  6.48233924e-02  2.38276277e-05
 -1.94052247e-04  3.02041836e-04 -1.05979587e-05  0.00000000e+00]","[ 0.         -1.48237669  9.41153622 -1.72542751 -5.01814556  0.60234743
 -0.51728851 -0.40861139]"
1723827103.0671523,"[ 0.00000000e+00 -2.90976981e-03  3.01801033e-01 -3.14146962e+00
 -2.26918263e+00  1.05570183e-05  9.71974036e-01  1.57078408e+00]","[ 0.00000000e+00 -1.23879618e-01  6.64439800e-02  1.85324169e-05
 -1.93215312e-04  3.12639768e-04 -1.05979587e-05  0.00000000e+00]","[ 0.         -1.56343615  9.54386234 -1.79742002 -5.06068993  0.62711221
 -0.54078394 -0.39170983]"
1723827103.0689468,"[ 0.00000000e+00 -3.16117221e-03  3.01935589e-01 -3.14146962e+00
 -2.26918316e+00  1.15083244e-05  9.71974036e-01  1.57078408e+00]","[ 0.00000000e+00 -1.28975785e-01  6.50934910e-02  1.85324169e-05
 -1.96992420e-04  3.12639768e-04 -1.05739739e-05  0.00000000e+00]","[ 0.         -1.68606305  9.68772602 -1.88844717 -5.05870628  0.66586834
 -0.54267138 -0.3782706 ]"
