Time,Position,Velocity,Effort
1723840896.3041408,"[ 0.00000000e+00 -2.43412924e-04  3.19638320e-01  3.14153992e+00
 -2.26916292e+00  9.60668841e-06  9.59997068e-01  1.57064905e+00]","[ 0.00000000e+00  6.07247802e-04  4.53223579e-01 -3.17698567e-05
 -3.44173463e-05 -2.91664395e-05 -1.69567338e-04  0.00000000e+00]","[ 0.00000000e+00  1.16300499e+00  1.39854593e+01  8.90585124e-01
 -4.35954952e+00 -9.13292728e-03 -1.31598163e+00 -5.59991524e-02]"
1723840896.3058152,"[ 0.00000000e+00 -2.41815027e-04  3.20577816e-01  3.14153939e+00
 -2.26916292e+00  9.60668841e-06  9.59997068e-01  1.57064905e+00]","[ 0.00000000e+00  6.05586447e-04  4.60160115e-01 -3.70648338e-05
 -3.44430205e-05 -2.91443860e-05 -1.69567338e-04  0.00000000e+00]","[ 0.00000000e+00  1.12331867e+00  1.39297009e+01  8.38165402e-01
 -4.32578516e+00  1.33472709e-02 -1.29390419e+00 -6.37749210e-02]"
1723840896.3080318,"[ 0.00000000e+00 -2.40749763e-04  3.21495742e-01  3.14153939e+00
 -2.26916292e+00  9.60668841e-06  9.59997068e-01  1.57064905e+00]","[ 0.00000000e+00  6.07226151e-04  4.68013410e-01 -3.70368514e-05
 -3.17698567e-05 -2.91664395e-05 -1.69695653e-04  0.00000000e+00]","[ 0.          1.06507862 13.89566994  0.80701309 -4.2823391   0.03509136
 -1.26790762 -0.06964556]"
1723840896.3091786,"[ 0.00000000e+00 -2.40749763e-04  3.21960896e-01  3.14153939e+00
 -2.26916292e+00  9.60668841e-06  9.59996136e-01  1.57064905e+00]","[ 0.00000000e+00  6.05586447e-04  4.71382209e-01 -3.70648338e-05
 -3.17698567e-05 -2.91443860e-05 -1.80167090e-04  0.00000000e+00]","[ 0.          1.04375839 13.78465652  0.77767497 -4.25593424  0.03049955
 -1.27528512 -0.06514735]"
1723840896.3114653,"[ 0.00000000e+00 -2.39151866e-04  3.22941272e-01  3.14153939e+00
 -2.26916292e+00  9.60668841e-06  9.59996136e-01  1.57064905e+00]","[ 0.00000000e+00  6.07247802e-04  4.81224687e-01 -3.70651995e-05
 -2.64751417e-05 -2.91443860e-05 -1.69695653e-04  0.00000000e+00]","[ 0.          0.98173422 13.82567883  0.78426135 -4.15124321  0.02894792
 -1.27835536 -0.06537388]"
1723840896.3136714,"[ 0.00000000e+00 -2.37553969e-04  3.23900043e-01  3.14153886e+00
 -2.26916265e+00  9.60668841e-06  9.59996136e-01  1.57064905e+00]","[ 0.00000000e+00  6.26201954e-04  4.87525959e-01 -4.23598089e-05
 -2.38273920e-05 -2.91443860e-05 -1.69567338e-04  0.00000000e+00]","[ 0.          0.91312522 13.90181828  0.72059715 -4.07756567  0.05148586
 -1.27552283 -0.06972998]"
1723840896.315373,"[ 0.00000000e+00 -2.37021337e-04  3.24914408e-01  3.14153886e+00
 -2.26916265e+00  9.60668841e-06  9.59995204e-01  1.57064905e+00]","[ 0.00000000e+00  6.09689055e-04  4.96806043e-01 -4.23598089e-05
 -2.38454062e-05 -2.91443860e-05 -1.80301630e-04  0.00000000e+00]","[ 0.          0.83733326 13.87872791  0.67651367 -4.01448917  0.046134
 -1.27756548 -0.04633667]"
1723840896.3170402,"[ 0.00000000e+00 -2.35956073e-04  3.25905803e-01  3.14153886e+00
 -2.26916265e+00  9.60668841e-06  9.59995204e-01  1.57064905e+00]","[ 0.00000000e+00  6.07226151e-04  5.04271983e-01 -4.23278279e-05
 -2.38273920e-05 -2.91446766e-05 -1.80165302e-04  0.00000000e+00]","[ 0.          0.8101725  13.9307785   0.59463793 -3.93424654  0.05682692
 -1.24339068 -0.05349628]"
1723840896.3187296,"[ 0.00000000e+00 -2.34890808e-04  3.26951826e-01  3.14153859e+00
 -2.26916212e+00  1.05579946e-05  9.59995204e-01  1.57064905e+00]","[ 0.00000000e+00  5.86661879e-04  5.13725405e-01 -4.50072964e-05
 -1.85466133e-05 -1.85604623e-05 -1.80301630e-04  0.00000000e+00]","[ 0.          0.72975349 13.96775723  0.56846535 -3.82178283  0.07735678
 -1.20678294 -0.03567891]"
1723840896.320367,"[ 0.00000000e+00 -2.34358176e-04  3.27462454e-01  3.14153859e+00
 -2.26916159e+00  1.05579946e-05  9.59995204e-01  1.57064905e+00]","[ 0.00000000e+00  5.85089144e-04  5.17776872e-01 -4.50072964e-05
 -1.32374398e-05 -1.85604623e-05 -1.80165302e-04  0.00000000e+00]","[ 0.          0.70391399 14.12216282  0.54359579 -3.75535941  0.08270975
 -1.2022984  -0.02801953]"
