Time,Position,Velocity,Effort
1723841359.7891216,"[ 0.00000000e+00 -1.96823584e-02  3.83214067e-01  3.14153566e+00
 -2.24738492e+00  3.21635023e-04  9.59970437e-01  1.57063001e+00]","[ 0.00000000e+00 -5.61721344e-02  3.82171140e-01  0.00000000e+00
  1.72147598e-01  5.21288109e-02  4.33246700e-04  1.05899522e-05]","[ 0.         -0.91828412 11.18160152 -1.4197104  -2.14468431  0.46017042
 -0.41726801 -0.06884846]"
1723841359.7909455,"[ 0.00000000e+00 -1.97947438e-02  3.83966210e-01  3.14153566e+00
 -2.24702140e+00  4.45304786e-04  9.59971369e-01  1.57063001e+00]","[ 0.00000000e+00 -5.67204709e-02  3.81377651e-01  0.00000000e+00
  1.78804536e-01  6.16310071e-02  4.39250353e-04  1.05819570e-05]","[ 0.         -0.98231745 11.1913147  -1.44136071 -2.16680813  0.44679838
 -0.41161349 -0.07269935]"
1723841359.792765,"[ 0.00000000e+00 -1.98522680e-02  3.84371211e-01  3.14153566e+00
 -2.24684217e+00  5.09993593e-04  9.59972368e-01  1.57063001e+00]","[ 0.00000000e+00 -5.83410544e-02  3.81418830e-01 -5.29097849e-06
  1.81775608e-01  6.56336883e-02  4.43110214e-04  1.05899522e-05]","[ 0.         -1.00022101 11.27312851 -1.43162298 -2.19720459  0.42155227
 -0.42025524 -0.07514769]"
1723841359.7945445,"[ 0.00000000e+00 -1.99785019e-02  3.85126583e-01  3.14153566e+00
 -2.24646346e+00  6.45079059e-04  9.59973300e-01  1.57063001e+00]","[ 0.00000000e+00 -6.32028089e-02  3.84078596e-01 -5.29097849e-06
  1.86822498e-01  6.94150525e-02  4.39680939e-04  1.05899522e-05]","[ 0.         -0.97155255 11.40933609 -1.40769863 -2.4120779   0.42117953
 -0.44211572 -0.07828362]"
1723841359.7962923,"[ 0.00000000e+00 -2.01084641e-02  3.85885151e-01  3.14153540e+00
 -2.24609275e+00  7.78261885e-04  9.59973300e-01  1.57063001e+00]","[ 0.00000000e+00 -6.63766561e-02  3.85159007e-01 -7.93646773e-06
  1.88257942e-01  6.26626158e-02  4.19070894e-04  1.05820616e-05]","[ 0.         -1.01013684 11.52204609 -1.38528895 -2.66803432  0.4485119
 -0.49826914 -0.07843451]"
1723841359.7981205,"[ 0.00000000e+00 -2.02453506e-02  3.86675444e-01  3.14153540e+00
 -2.24572497e+00  8.82905521e-04  9.59973300e-01  1.57063001e+00]","[ 0.00000000e+00 -6.67044122e-02  3.85699196e-01 -7.93654595e-06
  1.86367264e-01  4.91577426e-02  3.81290709e-04  1.05819570e-05]","[ 0.         -0.9677664  11.70885277 -1.32754469 -3.04629517  0.46647605
 -0.53665698 -0.06165817]"
1723841359.7998488,"[ 0.00000000e+00 -2.03790413e-02  3.87440437e-01  3.14153566e+00
 -2.24534680e+00  9.60912604e-04  9.59973300e-01  1.57063001e+00]","[ 0.00000000e+00 -6.86047607e-02  3.88940363e-01 -5.28698695e-06
  1.84019837e-01  3.48425735e-02  3.57240759e-04  1.05819570e-05]","[ 0.         -0.95774549 11.75910473 -1.28559828 -3.30851889  0.48993129
 -0.57995671 -0.06115365]"
1723841359.801691,"[ 0.00000000e+00 -2.04482835e-02  3.87824765e-01  3.14153566e+00
 -2.24516757e+00  9.87549156e-04  9.59973300e-01  1.57063001e+00]","[ 0.00000000e+00 -7.02253442e-02  3.89750663e-01 -5.29097849e-06
  1.81775608e-01  2.70097486e-02  3.43496286e-04  1.05899522e-05]","[ 0.         -0.92001426 11.71663284 -1.28783524 -3.5092113   0.49544716
 -0.61109561 -0.05156071]"
1723841359.8029172,"[ 0.00000000e+00 -2.05952900e-02  3.88625144e-01  3.14153566e+00
 -2.24480485e+00  1.02750398e-03  9.59973300e-01  1.57063001e+00]","[ 0.00000000e+00 -7.17731318e-02  3.91498196e-01 -5.29103081e-06
  1.75537919e-01  1.60340836e-02  3.29760720e-04  1.05820616e-05]","[ 0.         -0.8556146  11.70224571 -1.21296299 -3.74747682  0.45601881
 -0.61586338 -0.05200329]"
1723841359.805273,"[ 0.00000000e+00 -2.07391007e-02  3.89396129e-01  3.14153566e+00
 -2.24446450e+00  1.04748146e-03  9.59974232e-01  1.57063001e+00]","[ 0.00000000e+00 -7.45469056e-02  3.91641341e-01 -5.29897933e-06
  1.71511902e-01  7.83282698e-03  3.25619557e-04  1.05819570e-05]","[ 0.         -0.79840565 11.67210484 -1.18052459 -3.76711154  0.42894
 -0.62674224 -0.06454656]"
1723841359.8065195,"[ 0.00000000e+00 -2.08940966e-02  3.90202468e-01  3.14153566e+00
 -2.24411429e+00  1.05699453e-03  9.59974232e-01  1.57063001e+00]","[ 0.00000000e+00 -7.61674891e-02  3.94342319e-01 -5.29097849e-06
  1.70431507e-01  3.51075840e-03  3.21270009e-04  1.05819570e-05]","[ 0.         -0.75782776 11.57018375 -1.14531267 -3.68473029  0.40079457
 -0.62244689 -0.06675807]"
1723841359.8082387,"[ 0.00000000e+00 -2.09675999e-02  3.90591389e-01  3.14153566e+00
 -2.24394704e+00  1.05984839e-03  9.59975230e-01  1.57063001e+00]","[ 0.00000000e+00 -7.45469056e-02  3.94342319e-01 -5.28703927e-06
  1.69621207e-01  2.97107219e-03  3.21270009e-04  1.05819570e-05]","[ 0.         -0.73141384 11.60240746 -1.14339304 -3.63307548  0.37500238
 -0.57362056 -0.06817095]"
1723841359.8100245,"[ 0.00000000e+00 -2.11220632e-02  3.91397262e-01  3.14153566e+00
 -2.24360216e+00  1.06460495e-03  9.59976163e-01  1.57063001e+00]","[ 0.00000000e+00 -7.56608310e-02  3.92201870e-01 -5.29892650e-06
  1.68265642e-01  2.97107219e-03  3.30876797e-04  1.05820616e-05]","[ 0.         -0.71225649 11.45654297 -1.10636735 -3.37542224  0.35521364
 -0.54607195 -0.08933385]"
1723841359.8118446,"[ 0.00000000e+00 -2.12685371e-02  3.92170544e-01  3.14153566e+00
 -2.24326607e+00  1.07506930e-03  9.59978027e-01  1.57063094e+00]","[ 0.00000000e+00 -7.40067084e-02  3.92721719e-01  0.00000000e+00
  1.70798474e-01  4.38886139e-03  3.45249057e-04  1.85184257e-05]","[ 0.         -0.65384549 11.36974907 -1.06139028 -3.0987308   0.35822421
 -0.51261669 -0.08664647]"
