Time,Position,Velocity,Effort
1723846270.1374733,"[ 0.00000000e+00 -2.05063404e-04  2.94263022e-01 -3.14147574e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -3.26486822e-02  9.52376087e-05  5.29497611e-06
 -7.94246417e-06  2.91006692e-05 -1.85324169e-05  0.00000000e+00]","[ 0.         -0.96827656  9.28396606 -0.77549183 -4.32537937 -0.01242936
 -0.73277438  0.0361256 ]"
1723846270.1386878,"[ 0.00000000e+00 -2.40749763e-04  2.94263022e-01 -3.14147547e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -3.61930625e-02  8.99466322e-05  7.94254290e-06
 -7.93646773e-06  2.91006692e-05 -1.85324169e-05  0.00000000e+00]","[ 0.         -0.93870968  9.2800684  -0.75931054 -4.32244635 -0.02014872
 -0.73500419  0.02896401]"
1723846270.1405017,"[ 0.00000000e+00 -3.21709860e-04  2.94263488e-01 -3.14147547e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -4.06244918e-02  9.52385514e-05  7.93646773e-06
 -7.93646773e-06  2.91003827e-05 -1.85184257e-05  0.00000000e+00]","[ 0.         -0.87219894  9.27328682 -0.68555188 -4.32691383 -0.03825169
 -0.71855927  0.01760726]"
1723846270.1422122,"[ 0.00000000e+00 -4.05865750e-04  2.94263488e-01 -3.14147547e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -4.37557908e-02  9.52385514e-05  7.95448397e-06
 -7.94246417e-06  2.91003827e-05 -1.85324169e-05  0.00000000e+00]","[ 0.         -0.74706149  9.25010395 -0.62207299 -4.3324852  -0.05544978
 -0.71212345  0.01300885]"
1723846270.1434536,"[ 0.00000000e+00 -4.51672121e-04  2.94263488e-01 -3.14147494e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -4.61866702e-02  9.52376087e-05  1.32474486e-05
 -7.93646773e-06  2.91003827e-05 -1.85182388e-05  0.00000000e+00]","[ 0.         -0.71625495  9.23880672 -0.56466639 -4.3419776  -0.04847337
 -0.72872967  0.0107537 ]"
1723846270.1452177,"[ 0.00000000e+00 -5.56600668e-04  2.94263954e-01 -3.14147494e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -5.26690081e-02  1.00528593e-04  1.32574726e-05
 -7.93646773e-06  2.91006692e-05 -1.85324169e-05  0.00000000e+00]","[ 0.         -0.6010974   9.27970028 -0.46779972 -4.29636812 -0.04277972
 -0.74670547  0.02826518]"
1723846270.1470177,"[ 0.00000000e+00 -6.10396522e-04  2.94263954e-01 -3.14147494e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -5.45596902e-02  1.00529585e-04  1.32574726e-05
 -7.93646773e-06  2.91003827e-05 -1.85324169e-05  0.00000000e+00]","[ 0.         -0.56158185  9.27528095 -0.44430766 -4.29204321 -0.07589776
 -0.75254452  0.03794892]"
1723846270.1487343,"[ 0.00000000e+00 -7.23847184e-04  2.94263954e-01 -3.14147441e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -5.53699820e-02  1.00605543e-04  1.85604623e-05
 -7.93646773e-06  2.91003827e-05 -1.85184257e-05  0.00000000e+00]","[ 0.         -0.44685632  9.2849493  -0.36689016 -4.26999712 -0.08915766
 -0.75079638  0.03368483]"
1723846270.150452,"[ 0.00000000e+00 -8.33569421e-04  2.94264387e-01 -3.14147414e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -5.58535288e-02  1.00528593e-04  2.12119566e-05
 -7.94246417e-06  2.91006692e-05 -1.85325998e-05  0.00000000e+00]","[ 0.         -0.31790596  9.27376842 -0.3012116  -4.26434326 -0.09022123
 -0.72708994  0.02996184]"
1723846270.1527777,"[ 0.00000000e+00 -9.49150613e-04  2.94264387e-01 -3.14147414e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -5.61721344e-02  1.00605543e-04  2.12117453e-05
 -7.93654595e-06  2.91003827e-05 -1.85184257e-05  0.00000000e+00]","[ 0.         -0.2236324   9.2887907  -0.24735244 -4.25835419 -0.09261349
 -0.71718466  0.02849202]"
1723846270.1538858,"[ 0.00000000e+00 -1.00401173e-03  2.94264387e-01 -3.14147414e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -5.53699820e-02  1.00604543e-04  2.12119566e-05
 -7.94254290e-06  2.91443860e-05 -1.85324169e-05  0.00000000e+00]","[ 0.         -0.17600469  9.26382542 -0.22147642 -4.228755   -0.09113216
 -0.72515231  0.02273735]"
1723846270.1556358,"[ 0.00000000e+00 -1.10627712e-03  2.94264853e-01 -3.14147414e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -5.07783261e-02  1.00528593e-04  2.12119566e-05
 -7.93646773e-06  1.85464284e-05 -1.85184257e-05  0.00000000e+00]","[ 0.         -0.12693836  9.25378609 -0.19591706 -4.19291592 -0.10454799
 -0.73475283  0.01168162]"
1723846270.1568534,"[ 0.00000000e+00 -1.15847507e-03  2.94264853e-01 -3.14147414e+00
 -2.26917544e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -4.93549122e-02  1.00604543e-04  2.12119566e-05
 -7.93646773e-06  1.85464284e-05 -1.85186086e-05  0.00000000e+00]","[ 0.         -0.11453351  9.26800156 -0.18957567 -4.17038774 -0.10807747
 -0.71505779  0.01168162]"
1723846270.1585712,"[ 0.00000000e+00 -1.25594677e-03  2.94264853e-01 -3.14147414e+00
 -2.26917517e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -4.96979357e-02  1.00529585e-04  2.12119566e-05
 -5.29497611e-06  1.85602774e-05 -1.05899522e-05  0.00000000e+00]","[ 0.         -0.06640172  9.27894115 -0.21097833 -4.1256032  -0.11225098
 -0.70682836  0.01636723]"
1723846270.1609282,"[ 0.00000000e+00 -1.35821216e-03  2.94265319e-01 -3.14147414e+00
 -2.26917517e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -5.01536899e-02  1.05819570e-04  2.12280182e-05
 -5.29097849e-06  1.85464284e-05 -1.05819570e-05  0.00000000e+00]","[ 0.         -0.0379352   9.27740955 -0.20583755 -4.09008646 -0.08588375
 -0.71810371  0.02212733]"
1723846270.1622536,"[ 0.00000000e+00 -1.45461859e-03  2.94265319e-01 -3.14147414e+00
 -2.26917517e+00 -1.43810699e-05  9.59998067e-01  1.57085625e+00]","[ 0.00000000e+00 -4.82984612e-02  1.00604543e-04  2.12119566e-05
 -5.29497611e-06  1.85464284e-05 -1.05900569e-05  0.00000000e+00]","[ 0.         -0.05730861  9.28161526 -0.2095599  -4.04315567 -0.07893243
 -0.71176845  0.03611563]"
