Time,Position,Velocity,Effort
1723848783.8699193,"[ 0.00000000e+00  8.08682340e-05  2.96186923e-01 -3.14156922e+00
 -2.26906412e+00  6.19276264e-05  9.60297739e-01  1.57080778e+00]","[ 0.00000000e+00 -5.03022715e-05  4.48796934e-05 -5.29497611e-06
  1.91781408e-03  7.67199429e-05  6.37430062e-02  0.00000000e+00]","[ 0.         -0.80936921  9.42144775 -0.23577532 -3.18814754  0.27909514
 -0.59388709 -0.11912125]"
1723848783.871787,"[ 0.00000000e+00  8.08682340e-05  2.96187389e-01 -3.14156922e+00
 -2.26906092e+00  6.28789336e-05  9.60446144e-01  1.57080778e+00]","[ 0.00000000e+00 -5.03022715e-05  4.89614665e-05 -7.94246417e-06
  1.82136110e-03  8.46556558e-05  7.42274678e-02  0.00000000e+00]","[ 0.         -0.780294    9.5447588  -0.24072208 -3.29469204  0.29505548
 -0.64527607 -0.11230501]"
1723848783.8742151,"[ 0.00000000e+00  8.08682340e-05  2.96187822e-01 -3.14156922e+00
 -2.26905852e+00  6.28789336e-05  9.60676374e-01  1.57080778e+00]","[ 0.00000000e+00 -5.03022715e-05  5.66218420e-05 -7.93654595e-06
  1.42415036e-03  7.67191870e-05  7.72478753e-02  0.00000000e+00]","[ 0.         -0.76388186  9.71774578 -0.24375305 -3.45687437  0.28035501
 -0.53230077 -0.08938396]"
1723848783.8780668,"[ 0.00000000e+00  8.08682340e-05  2.96188288e-01 -3.14156922e+00
 -2.26905666e+00  6.28789336e-05  9.60895153e-01  1.57080778e+00]","[ 0.00000000e+00 -5.03022715e-05  6.49246091e-05 -7.94246417e-06
  9.27238375e-04  7.67199429e-05  6.64439800e-02  0.00000000e+00]","[ 0.         -0.71300453  9.86729336 -0.23135248 -3.4587338   0.28903303
 -0.56489372 -0.09380849]"
1723848783.8804739,"[ 0.00000000e+00  8.08682340e-05  2.96189220e-01 -3.14156922e+00
 -2.26905453e+00  6.28789336e-05  9.61051148e-01  1.57080778e+00]","[ 0.00000000e+00 -5.03022715e-05  7.62196980e-05 -7.94246417e-06
  6.62395522e-04  7.67191870e-05  4.30915984e-02  0.00000000e+00]","[ 0.         -0.68009847 10.01657295 -0.19013846 -3.43361855  0.28403416
 -0.59296393 -0.09178819]"
1723848783.8822508,"[ 0.00000000e+00  8.08682340e-05  2.96189220e-01 -3.14156922e+00
 -2.26905160e+00  6.28789336e-05  9.61112999e-01  1.57080778e+00]","[ 0.00000000e+00 -5.03027714e-05  7.49738932e-05 -7.94246417e-06
  8.25969334e-04  7.67191870e-05  2.70097486e-02  0.00000000e+00]","[ 0.         -0.67569321 10.06273842 -0.1672806  -3.36085343  0.27108938
 -0.53729224 -0.1028429 ]"
1723848783.8839922,"[ 0.00000000e+00  8.08682340e-05  2.96189686e-01 -3.14156922e+00
 -2.26904814e+00  6.28789336e-05  9.61142494e-01  1.57080778e+00]","[ 0.00000000e+00 -5.03022715e-05  7.36781298e-05 -1.32374398e-05
  9.92632764e-04  7.67199429e-05  9.77997016e-03  0.00000000e+00]","[ 0.         -0.61124486 10.08312798 -0.16505185 -3.22935152  0.2641575
 -0.54446793 -0.10450726]"
1723848783.8857405,"[ 0.00000000e+00  8.08682340e-05  2.96189686e-01 -3.14156922e+00
 -2.26904574e+00  6.28789336e-05  9.61144358e-01  1.57080778e+00]","[ 0.00000000e+00 -5.02642966e-05  7.36781298e-05 -1.32374398e-05
  1.11094662e-03  7.67191870e-05  1.88876664e-03  0.00000000e+00]","[ 0.         -0.59210074 10.06821156 -0.14714399 -3.16960764  0.27130824
 -0.56519103 -0.09770741]"
1723848783.887478,"[ 0.00000000e+00  8.08682340e-05  2.96189686e-01 -3.14156922e+00
 -2.26904308e+00  6.38302367e-05  9.61139631e-01  1.57080778e+00]","[ 0.00000000e+00 -5.03022715e-05  7.25145573e-05 -1.32275773e-05
  1.23180433e-03  8.46556558e-05 -2.34066893e-03  0.00000000e+00]","[ 0.         -0.5655058  10.04155064 -0.13638821 -3.10027361  0.26398939
 -0.54697317 -0.10773014]"
1723848783.8892007,"[ 0.00000000e+00  8.08682340e-05  2.96189686e-01 -3.14156922e+00
 -2.26903615e+00  6.38302367e-05  9.61137700e-01  1.57080778e+00]","[ 0.00000000e+00 -4.50072964e-05  7.13028385e-05 -1.32374398e-05
  1.78839369e-03  7.67191870e-05 -1.57999015e-03  0.00000000e+00]","[ 0.         -0.53982061 10.05313492 -0.08959845 -3.01576018  0.25292623
 -0.54092169 -0.10242484]"
1723848783.891143,"[ 0.00000000e+00  8.08682340e-05  2.96189686e-01 -3.14156922e+00
 -2.26902790e+00  6.38302367e-05  9.61146289e-01  1.57080778e+00]","[ 0.00000000e+00 -4.50072964e-05  7.13017169e-05 -1.32275773e-05
  3.37727759e-03  7.67191870e-05  1.65619478e-03  0.00000000e+00]","[ 0.         -0.53002512  9.97777271 -0.0886015  -2.93901825  0.27267456
 -0.54295868 -0.08154237]"
1723848783.892267,"[ 0.00000000e+00  8.08682340e-05  2.96189686e-01 -3.14156922e+00
 -2.26902310e+00  6.38302367e-05  9.61152015e-01  1.57080778e+00]","[ 0.00000000e+00 -4.50072964e-05  7.02114366e-05 -1.32374398e-05
  3.92951161e-03  7.67191870e-05  2.44668302e-03  0.00000000e+00]","[ 0.         -0.50226784  9.97270203 -0.08683097 -2.91992879  0.25019956
 -0.56689292 -0.0753587 ]"
1723848783.8940725,"[ 0.00000000e+00  8.08682340e-05  2.96190119e-01 -3.14156922e+00
 -2.26901405e+00  6.38302367e-05  9.61170058e-01  1.57080778e+00]","[ 0.00000000e+00 -4.49733161e-05  7.72897657e-05 -1.32274462e-05
  4.56441572e-03  7.67191870e-05  4.35019874e-03  0.00000000e+00]","[ 0.         -0.47422981  9.93777943 -0.06574615 -2.9195652   0.23158453
 -0.55452162 -0.07129057]"
1723848783.8958545,"[ 0.00000000e+00  8.08682340e-05  2.96190119e-01 -3.14156922e+00
 -2.26900952e+00  6.38302367e-05  9.61181509e-01  1.57080778e+00]","[ 0.00000000e+00 -4.50072964e-05  7.72897657e-05 -1.32274462e-05
  4.47516341e-03  7.67199429e-05  5.24941976e-03  0.00000000e+00]","[ 0.         -0.45875114  9.92614651 -0.04008117 -2.92690611  0.23783271
 -0.55197603 -0.08313621]"
1723848783.8970995,"[ 0.00000000e+00  8.08682340e-05  2.96191051e-01 -3.14156922e+00
 -2.26900126e+00  6.38302367e-05  9.61211004e-01  1.57080778e+00]","[ 0.00000000e+00 -4.50072964e-05  8.68752601e-05 -1.32374398e-05
  4.21191878e-03  7.67199429e-05  1.35132393e-02  0.00000000e+00]","[ 0.         -0.43101555  9.90385437 -0.04275767 -2.96860743  0.21871133
 -0.54140019 -0.09621388]"
1723848783.898884,"[ 0.00000000e+00  8.08682340e-05  2.96191517e-01 -3.14156869e+00
 -2.26899168e+00  6.38302367e-05  9.61242363e-01  1.57080778e+00]","[ 0.00000000e+00 -4.50072964e-05  9.33037448e-05 -7.93654595e-06
  4.43860216e-03  7.67191870e-05  1.53443852e-02  0.00000000e+00]","[ 0.         -0.39521331  9.89951897 -0.02044882 -3.03742313  0.21754001
 -0.58611006 -0.10590369]"
