Time,Position,Velocity,Effort
1723848725.7118285,"[ 0.00000000e+00  4.96433285e-05  2.97731157e-01 -3.14156842e+00
 -2.26895120e+00  7.33433004e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.36840546e-05  9.31836320e-02 -1.59089679e-05
  1.48553612e-02  6.61872009e-05  0.00000000e+00  1.05978530e-05]","[ 0.         -0.50726277 11.60640907 -0.03216862 -1.55963182  0.26345748
 -0.72551435 -0.03540793]"
1723848725.7129967,"[ 0.00000000e+00  4.96433285e-05  2.97827130e-01 -3.14156842e+00
 -2.26893176e+00  7.33433004e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.36358718e-05  9.71365704e-02 -1.58969375e-05
  1.83060970e-02  6.61372301e-05  0.00000000e+00  1.05979587e-05]","[ 0.         -0.50964397 11.67453861 -0.01530126 -1.54080093  0.27715024
 -0.72607106 -0.03739246]"
1723848725.7148106,"[ 0.00000000e+00  4.91841389e-05  2.98040217e-01 -3.14156842e+00
 -2.26888462e+00  7.33433004e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.89903714e-05  1.06827364e-01 -1.59089679e-05
  2.59293582e-02  6.61372301e-05  0.00000000e+00  1.05979587e-05]","[ 0.         -0.48068684 11.75815105 -0.01734746 -1.51218367  0.29741228
 -0.73935997 -0.05144432]"
1723848725.715969,"[ 0.00000000e+00  4.91841389e-05  2.98150405e-01 -3.14156842e+00
 -2.26888462e+00  7.33433004e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.89910622e-05  1.11820358e-01 -1.59088095e-05
  2.59293582e-02  6.62867037e-05  0.00000000e+00  1.05979587e-05]","[ 0.         -0.46627325 11.73370934 -0.03862302 -1.51218367  0.29243371
 -0.73526764 -0.04719526]"
1723848725.7176194,"[ 0.00000000e+00  4.91841389e-05  2.98381834e-01 -3.14156842e+00
 -2.26882177e+00  7.33433004e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.88867318e-05  1.19653181e-01 -1.58969375e-05
  3.34920866e-02  6.62372408e-05  0.00000000e+00  1.06059783e-05]","[ 0.         -0.44001272 11.67434311 -0.02129755 -1.56722414  0.28871408
 -0.72409403 -0.04893531]"
1723848725.7193685,"[ 0.00000000e+00  4.91841389e-05  2.98641292e-01 -3.14156842e+00
 -2.26874027e+00  7.33433004e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.35877499e-05  1.28436137e-01 -1.59089679e-05
  4.15950101e-02  6.62873661e-05  0.00000000e+00  1.05979587e-05]","[ 0.         -0.43987146 11.58662224 -0.01799588 -1.67214119  0.29041675
 -0.72831672 -0.05087755]"
1723848725.721189,"[ 0.00000000e+00  4.91841389e-05  2.98771221e-01 -3.14156842e+00
 -2.26869580e+00  7.42946035e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.35403432e-05  1.31807566e-01 -1.58969375e-05
  4.51062798e-02  7.68351964e-05  0.00000000e+00  1.05979587e-05]","[ 0.00000000e+00 -4.34448510e-01  1.15415354e+01  7.15711713e-03
 -1.71467948e+00  2.94748515e-01 -7.40542293e-01 -5.54738380e-02]"
1723848725.7223468,"[ 0.00000000e+00  4.91841389e-05  2.99045826e-01 -3.14156842e+00
 -2.26859487e+00  7.42946035e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.35883838e-05  1.34508543e-01 -1.58967790e-05
  5.09967011e-02  7.68351964e-05  0.00000000e+00  1.06059783e-05]","[ 0.00000000e+00 -3.86145055e-01  1.13917980e+01  1.06109772e-03
 -1.81084263e+00  3.08787763e-01 -7.20608234e-01 -5.42985573e-02]"
1723848725.7241364,"[ 0.00000000e+00  4.96433285e-05  2.99178551e-01 -3.14156842e+00
 -2.26853974e+00  7.42946035e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -5.82887721e-05  1.34508543e-01 -1.59089679e-05
  5.59101792e-02  6.62873661e-05  0.00000000e+00  1.05979587e-05]","[ 0.00000000e+00 -3.99078101e-01  1.13245354e+01  2.56141182e-03
 -1.83670902e+00  3.10482532e-01 -7.29705334e-01 -5.75393289e-02]"
1723848725.7252972,"[ 0.00000000e+00  4.91841389e-05  2.99452225e-01 -3.14156842e+00
 -2.26840552e+00  7.42946035e-05  9.60050398e-01  1.57080884e+00]","[ 0.00000000e+00 -6.35877499e-05  1.39640388e-01 -1.58969375e-05
  6.89613247e-02  6.62372408e-05  0.00000000e+00  1.05979587e-05]","[ 0.00000000e+00 -3.70495647e-01  1.11515112e+01 -7.18292408e-03
 -1.95653510e+00  3.07406753e-01 -7.21123934e-01 -5.68623431e-02]"
