Time,Position,Velocity,Effort
1723848383.637652,"[ 0.00000000e+00  4.27554795e-05  2.95820472e-01 -3.14156735e+00
 -2.27220957e+00 -8.52211549e-06  9.60059919e-01  1.57083548e+00]","[ 0.00000000e+00 -5.30298914e-06  5.16409947e-02  5.29892650e-06
 -2.80385317e-04  0.00000000e+00 -6.61872009e-05  0.00000000e+00]","[ 0.         -0.73643768 13.66593361  0.62589926 -6.60172129 -0.1227724
 -1.170627   -0.17469312]"
1723848383.6388185,"[ 0.00000000e+00  4.27554795e-05  2.95878329e-01 -3.14156735e+00
 -2.27221011e+00 -8.52211549e-06  9.60059919e-01  1.57083548e+00]","[ 0.00000000e+00 -5.30298914e-06  5.86111530e-02  5.30298914e-06
 -3.12150990e-04  0.00000000e+00 -6.61872009e-05  0.00000000e+00]","[ 0.         -0.76542377 13.56171322  0.59099221 -6.57379007 -0.12431484
 -1.16990662 -0.16420847]"
1723848383.6405916,"[ 0.00000000e+00  4.22962898e-05  2.96007825e-01 -3.14156735e+00
 -2.27221197e+00 -8.52211549e-06  9.60058920e-01  1.57083548e+00]","[ 0.00000000e+00 -7.96050683e-06  6.80645635e-02  5.29097849e-06
 -3.46467245e-04  0.00000000e+00 -7.67771511e-05  0.00000000e+00]","[ 0.         -0.8396427  13.35085011  0.4958742  -6.48599625 -0.12043665
 -1.16300845 -0.16076729]"
1723848383.6423259,"[ 0.00000000e+00  4.22962898e-05  2.96085423e-01 -3.14156789e+00
 -2.27221277e+00 -8.52211549e-06  9.60058920e-01  1.57083548e+00]","[ 0.00000000e+00 -7.95440473e-06  7.29736182e-02  0.00000000e+00
 -3.65906240e-04  0.00000000e+00 -7.67771511e-05  0.00000000e+00]","[ 0.         -0.87436825 13.24430084  0.44928408 -6.44852352 -0.1025258
 -1.14417446 -0.15803212]"
1723848383.6441445,"[ 0.00000000e+00  4.18371001e-05  2.96246145e-01 -3.14156789e+00
 -2.27221463e+00 -8.52211549e-06  9.60058920e-01  1.57083548e+00]","[ 0.00000000e+00 -1.32574726e-05  8.38152222e-02  0.00000000e+00
 -4.28267610e-04  0.00000000e+00 -7.67191870e-05  0.00000000e+00]","[ 0.         -0.96472424 12.93782711  0.36045995 -6.36335993 -0.06262587
 -1.11625159 -0.14461754]"
1723848383.6452785,"[ 0.00000000e+00  4.18371001e-05  2.96331566e-01 -3.14156842e+00
 -2.27221597e+00 -8.52211549e-06  9.60058920e-01  1.57083548e+00]","[ 0.00000000e+00 -1.32675109e-05  8.66134472e-02 -5.29497611e-06
 -5.01512082e-04  0.00000000e+00 -7.67771511e-05  0.00000000e+00]","[ 0.         -0.98086929 12.78274822  0.34456861 -6.33331871 -0.06465629
 -1.11372745 -0.13883959]"
1723848383.6470287,"[ 0.00000000e+00  4.13779105e-05  2.96516622e-01 -3.14156842e+00
 -2.27221783e+00 -8.52211549e-06  9.60058920e-01  1.57083548e+00]","[ 0.00000000e+00 -1.85324169e-05  9.18331430e-02 -5.29497611e-06
 -6.91210457e-04  0.00000000e+00 -7.67191870e-05  0.00000000e+00]","[ 0.         -1.0364387  12.38528633  0.2627354  -6.28039789 -0.05735566
 -1.08191788 -0.1405573 ]"
1723848383.648237,"[ 0.00000000e+00  4.09187208e-05  2.96608468e-01 -3.14156842e+00
 -2.27221863e+00 -8.52211549e-06  9.60058920e-01  1.57083548e+00]","[ 0.00000000e+00 -2.38812822e-05  9.31836320e-02 -5.29497611e-06
 -7.42418507e-04  0.00000000e+00 -7.67199429e-05  0.00000000e+00]","[ 0.         -1.06218803 12.24523926  0.16305268 -6.2463913  -0.05929896
 -1.06918454 -0.12840854]"
1723848383.6500416,"[ 0.00000000e+00  4.09187208e-05  2.96794889e-01 -3.14156842e+00
 -2.27222156e+00 -8.52211549e-06  9.60058920e-01  1.57083548e+00]","[ 0.00000000e+00 -2.64746154e-05  9.36288626e-02 -5.29097849e-06
 -8.52572597e-04  0.00000000e+00 -7.67771511e-05  0.00000000e+00]","[ 0.         -1.10759723 11.99979019  0.11473965 -6.22172832 -0.05260293
 -1.03884125 -0.15968607]"
1723848383.6512494,"[ 0.00000000e+00  4.04595311e-05  2.96894991e-01 -3.14156869e+00
 -2.27222289e+00 -8.52211549e-06  9.60058920e-01  1.57083548e+00]","[ 0.00000000e+00 -3.17698567e-05  9.42889438e-02 -7.94254290e-06
 -8.80970633e-04  0.00000000e+00 -7.67191870e-05  0.00000000e+00]","[ 0.         -1.09899628 11.83681011  0.11767636 -6.22024679 -0.048475
 -1.03229809 -0.15327202]"
