Time,Position,Velocity,Effort
1724359227.4833858,"[ 0.00000000e+00 -8.04274649e-05  2.96180165e-01 -3.14155723e+00
 -2.26912004e+00 -1.59789665e-06  9.60627772e-01  1.57079353e+00]","[ 0.00000000e+00 -4.58523389e-04  4.37557908e-02 -1.32375708e-05
  2.31161131e-04  1.88113759e-04 -5.54965385e-04  0.00000000e+00]","[ 0.         -0.90125233 12.17654133 -0.92484015 -3.47979832  0.45234081
 -1.60119557 -0.30977625]"
1724359227.485044,"[ 0.00000000e+00 -8.04274649e-05  2.96227902e-01 -3.14155723e+00
 -2.26911951e+00 -1.59789665e-06  9.60626773e-01  1.57079353e+00]","[ 0.00000000e+00 -4.44194529e-04  4.83474467e-02 -1.32375708e-05
  2.61614112e-04  1.88113759e-04 -5.64428385e-04  0.00000000e+00]","[ 0.         -0.89576733 12.11886597 -0.92484015 -3.45140195  0.45511645
 -1.5984025  -0.31300059]"
1724359227.4861512,"[ 0.00000000e+00 -8.14927294e-05  2.96333530e-01 -3.14155723e+00
 -2.26911818e+00 -1.59789665e-06  9.60625841e-01  1.57079353e+00]","[ 0.00000000e+00 -4.46675150e-04  5.26156451e-02 -1.32275773e-05
  3.53377062e-04  1.80165302e-04 -5.43777508e-04  0.00000000e+00]","[ 0.         -0.89579129 11.95946407 -0.91480899 -3.40784216  0.45324743
 -1.60049999 -0.32904601]"
1724359227.4878304,"[ 0.00000000e+00 -8.14927294e-05  2.96387259e-01 -3.14155723e+00
 -2.26911764e+00 -1.06526444e-06  9.60624909e-01  1.57079353e+00]","[ 0.00000000e+00 -4.35423847e-04  5.45596902e-02 -1.32374398e-05
  3.84052569e-04  1.88115644e-04 -5.56128633e-04  0.00000000e+00]","[ 0.         -0.89930713 11.90151882 -0.91707045 -3.40794897  0.45113748
 -1.57433319 -0.31722534]"
1724359227.4896057,"[ 0.00000000e+00 -8.25579938e-05  2.96501609e-01 -3.14155723e+00
 -2.26911631e+00 -1.06526444e-06  9.60623977e-01  1.57079353e+00]","[ 0.00000000e+00 -4.34569016e-04  5.96915434e-02 -1.32274462e-05
  4.10406778e-04  1.80165302e-04 -5.47324467e-04  0.00000000e+00]","[ 0.         -0.8779934  11.76700592 -0.89836967 -3.36786723  0.45345229
 -1.58182454 -0.32197666]"
1724359227.4907064,"[ 0.00000000e+00 -8.36232582e-05  2.96630173e-01 -3.14155723e+00
 -2.26911445e+00 -1.06526444e-06  9.60622046e-01  1.57079353e+00]","[ 0.00000000e+00 -4.37170149e-04  6.37430062e-02 -1.32375708e-05
  4.43793949e-04  1.80165302e-04 -5.81532238e-04  0.00000000e+00]","[ 0.         -0.86353797 11.57236195 -0.8929798  -3.34205317  0.44630805
 -1.59081876 -0.32211825]"
1724359227.4924245,"[ 0.00000000e+00 -8.36232582e-05  2.96693090e-01 -3.14155723e+00
 -2.26911392e+00  9.35353247e-08  9.60622046e-01  1.57079353e+00]","[ 0.00000000e+00 -4.34580101e-04  6.37430062e-02 -1.32374398e-05
  4.54951040e-04  1.88256117e-04 -5.82893597e-04  0.00000000e+00]","[ 0.         -0.86337537 11.47726631 -0.91650581 -3.33548665  0.44598824
 -1.58136547 -0.3149263 ]"
1724359227.493561,"[ 0.00000000e+00 -8.36232582e-05  2.96760102e-01 -3.14155723e+00
 -2.26911312e+00  9.35353247e-08  9.60621114e-01  1.57079353e+00]","[ 0.00000000e+00 -4.20999475e-04  6.31342034e-02 -1.32274462e-05
  4.80614427e-04  1.80165302e-04 -5.93341888e-04  0.00000000e+00]","[ 0.         -0.85988438 11.40741253 -0.89745063 -3.33553123  0.44090965
 -1.58958423 -0.32031575]"
1724359227.4952106,"[ 0.00000000e+00 -8.41558904e-05  2.96885936e-01 -3.14155723e+00
 -2.26911205e+00  9.35353247e-08  9.60619183e-01  1.57079353e+00]","[ 0.00000000e+00 -4.11452764e-04  6.48233924e-02 -1.32374398e-05
  5.38280252e-04  1.80165302e-04 -6.13781519e-04  0.00000000e+00]","[ 0.         -0.82659191 11.25919151 -0.92144674 -3.36054802  0.44006181
 -1.58286691 -0.3358824 ]"
1724359227.4975507,"[ 0.00000000e+00 -8.52211549e-05  2.97017729e-01 -3.14155723e+00
 -2.26911125e+00  1.04484124e-06  9.60616320e-01  1.57079353e+00]","[ 0.00000000e+00 -3.97427411e-04  6.69841731e-02 -1.32275773e-05
  5.72281914e-04  1.88113759e-04 -6.70287023e-04  0.00000000e+00]","[ 0.         -0.8311308  11.1858387  -0.88743263 -3.39352036  0.43713105
 -1.59930396 -0.35717338]"
1724359227.4985943,"[ 0.00000000e+00 -8.57537871e-05  2.97089801e-01 -3.14155723e+00
 -2.26911072e+00  1.04484124e-06  9.60615388e-01  1.57079353e+00]","[ 0.00000000e+00 -3.97427411e-04  6.78943209e-02 -1.32274462e-05
  5.90990296e-04  1.80165302e-04 -6.73533335e-04  0.00000000e+00]","[ 0.         -0.82619649 11.14132977 -0.90060765 -3.41808343  0.45249033
 -1.60893571 -0.35819072]"
