Time,Position,Velocity,Effort
1724359172.535184,"[ 0.00000000e+00  3.28372881e-02  2.94028397e-01 -3.14155324e+00
 -2.24615907e+00  7.81006206e-05  9.60080758e-01  1.57079646e+00]","[ 0.00000000e+00  2.18287463e-01  2.22344563e-03  5.82447383e-05
  8.34601230e-02  2.64548920e-04 -3.18715031e-02  0.00000000e+00]","[ 0.          1.17969799 11.55980682  1.5374856  -5.05027628  0.62616217
 -2.31369662 -0.46213374]"
1724359172.5362937,"[ 0.00000000e+00  3.30512689e-02  2.94032059e-01 -3.14155324e+00
 -2.24607837e+00  7.90519237e-05  9.60044606e-01  1.57079646e+00]","[ 0.00000000e+00  2.16888272e-01  2.67976814e-03  5.82447383e-05
  8.18395312e-02  2.74923334e-04 -3.67332556e-02  0.00000000e+00]","[ 0.          1.16420758 11.60376358  1.51786709 -5.063169    0.63731962
 -2.30491519 -0.47010174]"
1724359172.5380433,"[ 0.00000000e+00  3.34994394e-02  2.94040781e-01 -3.14155324e+00
 -2.24591938e+00  8.00032349e-05  9.59956122e-01  1.57079539e+00]","[ 0.00000000e+00  2.18778950e-01  3.67002428e-03  5.82447383e-05
  7.63601355e-02  2.83067334e-04 -4.53304014e-02 -1.05819570e-05]","[ 0.          1.20463991 11.60387325  1.53582752 -4.93224907  0.62520814
 -2.29912162 -0.47354108]"
1724359172.5397534,"[ 0.00000000e+00  3.37170945e-02  2.94047239e-01 -3.14155324e+00
 -2.24584455e+00  8.09545380e-05  9.59911448e-01  1.57079539e+00]","[ 0.00000000e+00  2.20669644e-01  4.70242312e-03  5.82447383e-05
  7.58973946e-02  2.93652196e-04 -4.54224428e-02 -1.05820616e-05]","[ 0.          1.25786746 11.5857029   1.58733869 -4.82786417  0.61185008
 -2.28699207 -0.47411677]"
1724359172.541464,"[ 0.00000000e+00  3.41698569e-02  2.94061920e-01 -3.14155324e+00
 -2.24569115e+00  8.19058412e-05  9.59808650e-01  1.57079539e+00]","[ 0.00000000e+00  2.21220253e-01  6.93440126e-03  5.29497591e-05
  7.45469056e-02  3.01361254e-04 -5.11567654e-02 -1.05819570e-05]","[ 0.          1.26923406 11.57782459  1.57609415 -4.61165571  0.63350064
 -2.29235101 -0.48226371]"
1724359172.5431778,"[ 0.00000000e+00  3.46079240e-02  2.94086721e-01 -3.14155324e+00
 -2.24554521e+00  8.28571524e-05  9.59707849e-01  1.57079539e+00]","[ 0.00000000e+00  2.22020133e-01  1.35414969e-02  5.30293622e-05
  7.39317237e-02  3.01585764e-04 -5.02381288e-02 -1.05819570e-05]","[ 0.          1.29867625 11.45590878  1.6306361  -4.32248926  0.60757428
 -2.23971438 -0.4940111 ]"
1724359172.5460694,"[ 0.00000000e+00  3.48444065e-02  2.94104164e-01 -3.14155324e+00
 -2.24547117e+00  8.28571524e-05  9.59660245e-01  1.57079539e+00]","[ 0.00000000e+00  2.22682395e-01  1.78083710e-02  5.30298904e-05
  7.51633276e-02  3.01358264e-04 -4.48875552e-02 -1.05899522e-05]","[ 0.          1.31251657 11.421381    1.6052537  -4.21425819  0.62244302
 -2.24359584 -0.50513238]"
1724359172.5478148,"[ 0.00000000e+00  3.55038031e-02  2.94182228e-01 -3.14155324e+00
 -2.24524720e+00  8.38084555e-05  9.59535676e-01  1.57079539e+00]","[ 0.00000000e+00  2.22020133e-01  2.98414461e-02  5.03783961e-05
  7.26562194e-02  3.12170821e-04 -3.75055099e-02 -1.05819570e-05]","[ 0.          1.3974005  11.12105179  1.66267192 -3.86652803  0.60435265
 -2.20729756 -0.49618879]"
1724359172.54958,"[ 0.00000000e+00  3.59639099e-02  2.94251104e-01 -3.14155324e+00
 -2.24510099e+00  8.57110699e-05  9.59471893e-01  1.57079539e+00]","[ 0.00000000e+00  2.25479297e-01  3.67332556e-02  5.03778963e-05
  7.07655415e-02  3.19865868e-04 -2.89004307e-02 -1.05819570e-05]","[ 0.          1.40070391 10.9772644   1.65396225 -3.72994995  0.62351042
 -2.20473146 -0.49376518]"
1724359172.5513523,"[ 0.00000000e+00  3.64074885e-02  2.94331465e-01 -3.14155324e+00
 -2.24496277e+00  8.66623730e-05  9.59423424e-01  1.57079539e+00]","[ 0.00000000e+00  2.24451000e-01  4.01229520e-02  4.50754075e-05
  6.93447200e-02  3.30686162e-04 -2.15660871e-02 -1.05819570e-05]","[ 0.          1.41231251 10.7983284   1.66531968 -3.56615305  0.6190989
 -2.14817572 -0.50926948]"
1724359172.55312,"[ 0.00000000e+00  3.68708120e-02  2.94409995e-01 -3.14155324e+00
 -2.24482562e+00  8.76136761e-05  9.59389135e-01  1.57079539e+00]","[ 0.00000000e+00  2.26908349e-01  3.97043280e-02  4.50754075e-05
  6.69551780e-02  3.30439970e-04 -1.64759457e-02 -1.05819570e-05]","[ 0.          1.41771078 10.65535641  1.6636219  -3.434443    0.66563916
 -2.13518953 -0.50528526]"
1724359172.555399,"[ 0.00000000e+00  3.73157638e-02  2.94486195e-01 -3.14155324e+00
 -2.24469379e+00  8.95162905e-05  9.59359641e-01  1.57079539e+00]","[ 0.00000000e+00  2.25531395e-01  3.63272192e-02  3.97724188e-05
  6.69841731e-02  3.49204592e-04 -1.53799571e-02 -1.05819570e-05]","[ 0.          1.45849323 10.58049297  1.62778258 -3.36320615  0.67008847
 -2.13058639 -0.49827644]"
1724359172.5571272,"[ 0.00000000e+00  3.77767903e-02  2.94554172e-01 -3.14155351e+00
 -2.24455504e+00  9.14189049e-05  9.59326351e-01  1.57079539e+00]","[ 0.00000000e+00  2.24991189e-01  3.39978000e-02  3.71209245e-05
  6.73932555e-02  3.74460995e-04 -1.62546453e-02 -1.05819570e-05]","[ 0.          1.45395803 10.56744289  1.61642039 -3.42342257  0.66042221
 -2.13370681 -0.50212282]"
1724359172.5594778,"[ 0.00000000e+00  3.82240432e-02  2.94623514e-01 -3.14155351e+00
 -2.24442189e+00  9.33215111e-05  9.59282609e-01  1.57079539e+00]","[ 0.00000000e+00  2.27151978e-01  3.36029739e-02  3.18179359e-05
  6.86047607e-02  3.86905422e-04 -2.40386761e-02 -1.05820616e-05]","[ 0.          1.45564103 10.59378624  1.57993376 -3.63217282  0.67552584
 -2.15967727 -0.5100314 ]"
1724359172.5615392,"[ 0.00000000e+00  3.84678722e-02  2.94657503e-01 -3.14155351e+00
 -2.24435397e+00  9.42728223e-05  9.59254046e-01  1.57079539e+00]","[ 0.00000000e+00  2.29487820e-01  3.45724769e-02  3.18179359e-05
  6.88748552e-02  3.99865218e-04 -2.68069842e-02 -1.05819570e-05]","[ 0.          1.45673347 10.6098423   1.59384763 -3.7754097   0.67119706
 -2.17018986 -0.50888926]"
1724359172.5622976,"[ 0.00000000e+00  3.89243089e-02  2.94728676e-01 -3.14155351e+00
 -2.24421443e+00  9.61754286e-05  9.59223620e-01  1.57079539e+00]","[ 0.00000000e+00  2.32283823e-01  3.61930625e-02  3.18420273e-05
  6.74559521e-02  4.28196382e-04 -3.07911127e-02 -1.05820616e-05]","[ 0.          1.45951772 10.67999744  1.59823596 -4.02202177  0.67134011
 -2.16233182 -0.52541739]"
1724359172.5640695,"[ 0.00000000e+00  3.91561995e-02  2.94765394e-01 -3.14155351e+00
 -2.24415104e+00  9.71267398e-05  9.59191262e-01  1.57079539e+00]","[ 0.00000000e+00  2.35254896e-01  3.72734528e-02  3.18176189e-05
  6.42831993e-02  4.44126877e-04 -3.29518914e-02 -1.05820616e-05]","[ 0.          1.45728505 10.71407413  1.5586524  -4.11754894  0.69909942
 -2.21131206 -0.50205457]"
1724359172.5658212,"[ 0.00000000e+00  3.96406410e-02  2.94846687e-01 -3.14155404e+00
 -2.24402481e+00  1.00931960e-04  9.59108505e-01  1.57079539e+00]","[ 0.00000000e+00  2.36976196e-01  4.05146197e-02  2.38634509e-05
  6.09367377e-02  5.10697257e-04 -4.21291029e-02 -1.05820616e-05]","[ 0.          1.408687   10.77964687  1.57221293 -4.29073763  0.73094338
 -2.24934459 -0.50092   ]"
1724359172.567517,"[ 0.00000000e+00  4.01044263e-02  2.94938067e-01 -3.14155404e+00
 -2.24390816e+00  1.05688492e-04  9.59018157e-01  1.57079539e+00]","[ 0.00000000e+00  2.34714707e-01  4.61413964e-02  2.38636886e-05
  5.80709558e-02  6.22014887e-04 -4.72670564e-02 -1.05819570e-05]","[ 0.          1.38096917 10.8806076   1.5491122  -4.40532398  0.77669156
 -2.26976442 -0.47926962]"
1724359172.569245,"[ 0.00000000e+00  4.05865750e-02  2.95043661e-01 -3.14155404e+00
 -2.24380030e+00  1.13298942e-04  9.58912563e-01  1.57079539e+00]","[ 0.00000000e+00  2.35220807e-01  5.63931768e-02  2.38636886e-05
  5.28854690e-02  8.67772836e-04 -5.29391068e-02 -1.06059783e-05]","[ 0.          1.32136691 10.88432884  1.49267387 -4.42742634  0.77935326
 -2.28521156 -0.49568906]"
