Time,Position,Velocity,Effort
1724358908.165695,"[ 0.00000000e+00  1.99135761e-05  2.97853462e-01 -3.14155324e+00
 -2.26916771e+00  4.48049139e-05  9.60347141e-01  1.57081830e+00]","[ 0.00000000e+00 -1.19047015e-04  1.04151994e-01  0.00000000e+00
 -1.37773464e-04  7.66613124e-05 -6.41963563e-04  0.00000000e+00]","[ 0.         -0.48078322 11.61856937 -0.29903781 -5.14361858  0.22093052
 -1.6630224  -0.37719747]"
1724358908.1668715,"[ 0.00000000e+00  1.94543865e-05  2.98074771e-01 -3.14155271e+00
 -2.26916771e+00  4.48049139e-05  9.60342347e-01  1.57081830e+00]","[ 0.00000000e+00 -1.19047015e-04  1.15754413e-01  5.29097849e-06
 -1.37774829e-04  6.60873364e-05 -7.73514293e-04  0.00000000e+00]","[ 0.         -0.44434154 11.65204525 -0.26261282 -5.08280373  0.19199367
 -1.65343237 -0.36639655]"
1724358908.1687026,"[ 0.00000000e+00  1.94543865e-05  2.98347079e-01 -3.14155271e+00
 -2.26916771e+00  4.48049139e-05  9.60335689e-01  1.57081830e+00]","[ 0.00000000e+00 -1.13841985e-04  1.25918817e-01  5.29097849e-06
 -1.32474482e-04  6.60879907e-05 -1.03797302e-03  0.00000000e+00]","[ 0.         -0.39391869 11.56629944 -0.20996195 -4.9844451   0.19877785
 -1.63936615 -0.36636841]"
1724358908.1703887,"[ 0.00000000e+00  1.94543865e-05  2.98457734e-01 -3.14155271e+00
 -2.26916771e+00  4.48049139e-05  9.60330962e-01  1.57081830e+00]","[ 0.00000000e+00 -1.13757160e-04  1.32838733e-01  5.29497611e-06
 -1.32474482e-04  6.60879907e-05 -1.34652858e-03  0.00000000e+00]","[ 0.         -0.34236118 11.51868916 -0.1669659  -4.93547583  0.20376793
 -1.64439332 -0.37539175]"
1724358908.1715412,"[ 0.00000000e+00  1.94543865e-05  2.98764463e-01 -3.14155271e+00
 -2.26916771e+00  4.48049139e-05  9.60318579e-01  1.57081830e+00]","[ 0.00000000e+00 -1.08465062e-04  1.41610795e-01  5.29103081e-06
 -1.32474482e-04  6.60873364e-05 -2.43789927e-03  0.00000000e+00]","[ 0.         -0.2686055  11.3732357  -0.11693306 -4.81434965  0.17937794
 -1.62992036 -0.39673129]"
1724358908.1733444,"[ 0.00000000e+00  1.99135761e-05  2.98906842e-01 -3.14155271e+00
 -2.26916771e+00  4.48049139e-05  9.60309058e-01  1.57081830e+00]","[ 0.00000000e+00 -1.00604543e-04  1.44502155e-01  5.29097849e-06
 -1.32474482e-04  6.60873364e-05 -3.45372176e-03  0.00000000e+00]","[ 0.         -0.22952285 11.28102875 -0.10237135 -4.78223467  0.17558956
 -1.60019767 -0.39138925]"
1724358908.1745234,"[ 0.00000000e+00  1.99135761e-05  2.99195196e-01 -3.14155271e+00
 -2.26916771e+00  4.48049139e-05  9.60277699e-01  1.57081830e+00]","[ 0.00000000e+00 -9.52376087e-05  1.46965296e-01  5.29097849e-06
 -1.27271744e-04  6.61378843e-05 -9.68583782e-03  0.00000000e+00]","[ 0.         -0.20706853 11.0953598  -0.06668835 -4.7052207   0.17010818
 -1.57747948 -0.3896997 ]"
1724358908.1763058,"[ 0.00000000e+00  1.99135761e-05  2.99353155e-01 -3.14155217e+00
 -2.26916771e+00  4.48049139e-05  9.60253864e-01  1.57081830e+00]","[ 0.00000000e+00 -9.53086171e-05  1.48705689e-01  1.05820616e-05
 -1.26983484e-04  6.61372301e-05 -1.81638988e-02  0.00000000e+00]","[ 0.         -0.19452892 11.00393009 -0.03224692 -4.64209843  0.16742222
 -1.56763649 -0.39111081]"
1724358908.1774678,"[ 0.00000000e+00  1.99135761e-05  2.99652561e-01 -3.14155217e+00
 -2.26916771e+00  4.48049139e-05  9.60192078e-01  1.57081830e+00]","[ 0.00000000e+00 -9.00145929e-05  1.52334978e-01  1.05900569e-05
 -1.24337991e-04  5.55133645e-05 -3.18715031e-02  0.00000000e+00]","[ 0.00000000e+00 -1.22944757e-01  1.08744459e+01 -3.58062651e-04
 -4.57947540e+00  1.65353373e-01 -1.55790675e+00 -3.95273656e-01]"
1724358908.1793017,"[ 0.00000000e+00  1.99135761e-05  2.99802697e-01 -3.14155217e+00
 -2.26916824e+00  4.48049139e-05  9.60160653e-01  1.57081830e+00]","[ 0.00000000e+00 -8.99466322e-05  1.52180631e-01  1.05820616e-05
 -1.29628976e-04  5.55558217e-05 -3.18715031e-02  0.00000000e+00]","[ 0.         -0.09319181 10.81191158  0.03113992 -4.54657793  0.13148943
 -1.57026374 -0.38822442]"
1724358908.1804366,"[ 0.00000000e+00  1.99135761e-05  3.00115418e-01 -3.14155217e+00
 -2.26916824e+00  4.48049139e-05  9.60099800e-01  1.57081830e+00]","[ 0.00000000e+00 -8.73671094e-05  1.53685467e-01  1.05819570e-05
 -1.29630252e-04  5.55139131e-05 -2.88711484e-02  0.00000000e+00]","[ 0.         -0.03453078 10.63797665  0.08891118 -4.54690742  0.10931202
 -1.58026087 -0.39935467]"
