Time,Position,Velocity,Effort
1724370114.6479146,"[ 0.00000000e+00 -4.31432097e-05  3.56414311e-01 -3.14153939e+00
 -2.15987558e+00 -7.45685105e-06  9.60507929e-01  1.57085438e+00]","[ 0.00000000e+00  5.29897933e-06  3.92201870e-01 -5.29097849e-06
  4.81583814e-01  1.85464284e-05 -3.45724769e-02  0.00000000e+00]","[ 0.          0.02664371 12.52201366 -0.32083949 -2.51423168  0.27680752
 -1.12908435 -0.18744209]"
1724370114.6502037,"[ 0.00000000e+00 -4.31432097e-05  3.57190789e-01 -3.14153939e+00
 -2.15888834e+00 -7.45685105e-06  9.60434692e-01  1.57085438e+00]","[ 0.00000000e+00  0.00000000e+00  3.94072208e-01 -5.29092566e-06
  4.81635513e-01  1.85604623e-05 -3.48568151e-02  0.00000000e+00]","[ 0.          0.06764004 12.46480083 -0.32143819 -2.51135015  0.27698854
 -1.12397063 -0.19744264]"
1724370114.651896,"[ 0.00000000e+00 -4.31432097e-05  3.57578811e-01 -3.14153939e+00
 -2.15841403e+00 -7.45685105e-06  9.60403267e-01  1.57085438e+00]","[ 0.00000000e+00  0.00000000e+00  3.93532019e-01 -5.29103081e-06
  4.81043592e-01  1.85464284e-05 -3.18392102e-02  0.00000000e+00]","[ 0.          0.05090288 12.36512947 -0.32803273 -2.45676088  0.26341212
 -1.13593626 -0.20560193]"
1724370114.6536794,"[ 0.00000000e+00 -4.31432097e-05  3.58388812e-01 -3.14153939e+00
 -2.15742174e+00 -7.45685105e-06  9.60350004e-01  1.57085438e+00]","[ 0.00000000e+00 -5.29892650e-06  3.96371181e-01 -5.29897933e-06
  4.85635248e-01  1.85604623e-05 -2.33214660e-02  0.00000000e+00]","[ 0.          0.07844689 12.26287365 -0.31199259 -2.31250739  0.26758587
 -1.14110267 -0.21613303]"
1724370114.654803,"[ 0.00000000e+00 -4.31432097e-05  3.59204338e-01 -3.14153939e+00
 -2.15646194e+00 -7.45685105e-06  9.60322440e-01  1.57085438e+00]","[ 0.00000000e+00 -5.30298914e-06  3.98972624e-01 -5.29897933e-06
  4.87255848e-01  1.85464284e-05 -1.05338018e-02  0.00000000e+00]","[ 0.          0.08914381 12.11327934 -0.3198714  -2.21497917  0.28604785
 -1.11126852 -0.20358299]"
1724370114.6564584,"[ 0.00000000e+00 -4.31432097e-05  3.59598786e-01 -3.14153886e+00
 -2.15598257e+00 -7.45685105e-06  9.60319577e-01  1.57085438e+00]","[ 0.00000000e+00 -5.29897933e-06  4.00014352e-01  0.00000000e+00
  4.86175470e-01  1.85464284e-05 -2.96806183e-03  0.00000000e+00]","[ 0.          0.09235499 12.12166786 -0.32030299 -2.18649483  0.28635651
 -1.1043191  -0.19396894]"
1724370114.658287,"[ 0.00000000e+00 -4.31432097e-05  3.60383087e-01 -3.14153886e+00
 -2.15498069e+00 -7.45685105e-06  9.60326235e-01  1.57085438e+00]","[ 0.00000000e+00 -5.30298914e-06  3.96371181e-01  0.00000000e+00
  4.89956826e-01  1.85604623e-05  3.02769557e-03  0.00000000e+00]","[ 0.          0.08898007 12.0610199  -0.34605765 -2.15127134  0.28897461
 -1.11969686 -0.20363662]"
1724370114.6594186,"[ 0.00000000e+00 -4.31432097e-05  3.60805531e-01 -3.14153886e+00
 -2.15449759e+00 -6.39158662e-06  9.60330962e-01  1.57085438e+00]","[ 0.00000000e+00 -5.30293632e-06  3.97718774e-01  0.00000000e+00
  4.89956826e-01  2.91440955e-05  3.59434811e-03  0.00000000e+00]","[ 0.          0.11230315 11.97262192 -0.35570791 -2.078578    0.2867662
 -1.12291467 -0.20485805]"
1724370114.6611323,"[ 0.00000000e+00 -4.31432097e-05  3.61593061e-01 -3.14153886e+00
 -2.15349198e+00 -6.39158662e-06  9.60335756e-01  1.57085438e+00]","[ 0.00000000e+00 -7.95448397e-06  3.99204086e-01  0.00000000e+00
  4.90753877e-01  2.91664395e-05  3.57649089e-03  0.00000000e+00]","[ 0.          0.1202478  11.94464684 -0.32920143 -2.0306232   0.27499706
 -1.0695715  -0.19345494]"
1724370114.6622453,"[ 0.00000000e+00 -4.31432097e-05  3.61985644e-01 -3.14153886e+00
 -2.15300622e+00 -6.39158662e-06  9.60334757e-01  1.57085438e+00]","[ 0.00000000e+00 -7.95448397e-06  3.98123675e-01  0.00000000e+00
  4.92158628e-01  2.91664395e-05  2.65943787e-03  0.00000000e+00]","[ 0.          0.10639654 11.95944118 -0.30754626 -2.07708144  0.27609515
 -1.05208659 -0.19536039]"
