Time,Position,Velocity,Effort
1724430304.431922,"[ 0.00000000e+00  3.92558503e-05  2.95143629e-01 -3.14156602e+00
 -2.26919674e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  1.94470181e-02  7.93654595e-06
  5.82013384e-05  0.00000000e+00 -6.62372408e-05  0.00000000e+00]","[ 0.          0.62742233  9.60650635  0.2113384  -3.75576186  0.04347068
 -0.73283648 -0.57710898]"
1724430304.4336028,"[ 0.00000000e+00  3.92558503e-05  2.95205148e-01 -3.14156602e+00
 -2.26919674e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85325998e-05  3.34920866e-02  7.93654595e-06
  5.82013384e-05  0.00000000e+00 -6.62372408e-05  0.00000000e+00]","[ 0.          0.61168396  9.46452236  0.20351954 -3.71623278  0.05544461
 -0.74045712 -0.57669789]"
1724430304.4347541,"[ 0.00000000e+00  3.92558503e-05  2.95241434e-01 -3.14156602e+00
 -2.26919621e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85184257e-05  3.67332556e-02  7.93646773e-06
  6.34917418e-05  0.00000000e+00 -6.62372408e-05  0.00000000e+00]","[ 0.          0.63113701  9.38340092  0.18782414 -3.7124095   0.04744227
 -0.73076969 -0.58032936]"
1724430304.4364407,"[ 0.00000000e+00  3.92558503e-05  2.95328686e-01 -3.14156602e+00
 -2.26919594e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85325998e-05  4.41352496e-02  7.93646773e-06
  6.61372301e-05  0.00000000e+00 -6.62372408e-05  0.00000000e+00]","[ 0.          0.6605987   9.10270214  0.17576863 -3.60742664  0.03891927
 -0.67176545 -0.58147502]"
1724430304.4381561,"[ 0.00000000e+00  3.92558503e-05  2.95375058e-01 -3.14156602e+00
 -2.26919541e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  4.69493454e-02  7.93646773e-06
  7.14282106e-05  0.00000000e+00 -6.62372408e-05  0.00000000e+00]","[ 0.          0.63728017  8.98903656  0.17862074 -3.56772184  0.04268671
 -0.657619   -0.59831119]"
1724430304.4398508,"[ 0.00000000e+00  3.92558503e-05  2.95473795e-01 -3.14156602e+00
 -2.26919408e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  5.07783261e-02  7.93646773e-06
  8.46564929e-05  0.00000000e+00 -6.62372408e-05  0.00000000e+00]","[ 0.          0.62004077  8.74870491  0.20013952 -3.45003343  0.04056
 -0.62765777 -0.58389878]"
1724430304.4415822,"[ 0.00000000e+00  3.92558503e-05  2.95526592e-01 -3.14156602e+00
 -2.26919301e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  4.96521543e-02  7.93654595e-06
  9.25921245e-05  0.00000000e+00 -6.61872009e-05  0.00000000e+00]","[ 0.          0.62405133  8.60368729  0.19820692 -3.3748548   0.03166033
 -0.6126489  -0.58833665]"
1724430304.4426918,"[ 0.00000000e+00  3.92558503e-05  2.95620269e-01 -3.14156602e+00
 -2.26919221e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85184257e-05  4.61398734e-02  5.29097849e-06
  1.00528593e-04  0.00000000e+00 -5.82887721e-05  0.00000000e+00]","[ 0.          0.60798264  8.38505268  0.1930187  -3.25290847  0.04210069
 -0.59529793 -0.59030664]"
1724430304.444382,"[ 0.00000000e+00  3.92558503e-05  2.95711182e-01 -3.14156602e+00
 -2.26919168e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85322320e-05  4.41352496e-02  5.29097849e-06
  1.05820618e-04  0.00000000e+00 -5.83328791e-05  0.00000000e+00]","[ 0.          0.60666603  8.22853851  0.18081389 -3.14235425  0.03520153
 -0.54811931 -0.60113019]"
1724430304.4460719,"[ 0.00000000e+00  3.97150399e-05  2.95753893e-01 -3.14156602e+00
 -2.26919115e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  2.38273920e-05  4.32155977e-02  5.29103081e-06
  1.11277457e-04  0.00000000e+00 -5.82887721e-05  0.00000000e+00]","[ 0.          0.6103304   8.18649387  0.16814855 -3.12187743  0.0386912
 -0.54185206 -0.59580177]"
1724430304.4477382,"[ 0.00000000e+00  3.97150399e-05  2.95838848e-01 -3.14156602e+00
 -2.26919088e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  2.38094022e-05  4.29454991e-02  5.29103081e-06
  1.13928053e-04  0.00000000e+00 -5.82887721e-05  0.00000000e+00]","[ 0.          0.64534503  8.12365246  0.17205733 -3.09478116  0.04128484
 -0.5325737  -0.58753771]"
1724430304.449444,"[ 0.00000000e+00  3.97150399e-05  2.95882923e-01 -3.14156655e+00
 -2.26919088e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  2.38273920e-05  4.16275631e-02  0.00000000e+00
  1.13928053e-04  0.00000000e+00 -5.83334602e-05  0.00000000e+00]","[ 0.          0.64831609  8.10605335  0.16238159 -3.09475422  0.03893846
 -0.53332216 -0.598593  ]"
1724430304.4512024,"[ 0.00000000e+00  3.97150399e-05  2.95959156e-01 -3.14156655e+00
 -2.26919035e+00 -1.49137021e-05  9.60562191e-01  1.57078221e+00]","[ 0.00000000e+00  2.38276277e-05  3.77753338e-02 -5.29097849e-06
  1.19227035e-04  0.00000000e+00 -4.76908124e-05  0.00000000e+00]","[ 0.          0.64615363  8.13795853  0.15947758 -3.12392592  0.03597495
 -0.53685117 -0.59275168]"
1724430304.4522917,"[ 0.00000000e+00  3.97150399e-05  2.96029397e-01 -3.14156655e+00
 -2.26918982e+00 -1.49137021e-05  9.60562191e-01  1.57078221e+00]","[ 0.00000000e+00  2.38276277e-05  3.33522061e-02 -5.29097849e-06
  1.24527252e-04  0.00000000e+00 -4.76908124e-05  0.00000000e+00]","[ 0.          0.65522456  8.22479916  0.1792744  -3.19997787  0.04465218
 -0.56707811 -0.59149313]"
1724430304.4540002,"[ 0.00000000e+00  3.97150399e-05  2.96061088e-01 -3.14156655e+00
 -2.26918982e+00 -1.49137021e-05  9.60562191e-01  1.57078221e+00]","[ 0.00000000e+00  2.38273920e-05  3.21415997e-02 -5.29103081e-06
  1.24526017e-04  0.00000000e+00 -4.76192757e-05  0.00000000e+00]","[ 0.          0.66682982  8.2869091   0.17374785 -3.24262023  0.04022878
 -0.58168036 -0.59363639]"
1724430304.455694,"[ 0.00000000e+00  3.97150399e-05  2.96121709e-01 -3.14156655e+00
 -2.26918982e+00 -1.49137021e-05  9.60562191e-01  1.57078221e+00]","[ 0.00000000e+00  2.38094022e-05  3.07599142e-02 -5.29097849e-06
  1.24526017e-04  0.00000000e+00 -4.76192757e-05  0.00000000e+00]","[ 0.          0.63999605  8.45423222  0.17735848 -3.32217789  0.04488282
 -0.62278622 -0.59743649]"
1724430304.4579504,"[ 0.00000000e+00  3.92558503e-05  2.96185991e-01 -3.14156655e+00
 -2.26918982e+00 -1.49137021e-05  9.60562191e-01  1.57078221e+00]","[ 0.00000000e+00  1.85325998e-05  3.16014045e-02 -5.29097849e-06
  1.24526017e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.63515878  8.64232731  0.18328419 -3.42949319  0.05542591
 -0.63732421 -0.5824312 ]"
1724430304.4591076,"[ 0.00000000e+00  3.92558503e-05  2.96217216e-01 -3.14156655e+00
 -2.26918982e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  3.16014045e-02 -5.29103081e-06
  1.24431935e-04  0.00000000e+00 -5.82007654e-05  0.00000000e+00]","[ 0.          0.63807553  8.71203899  0.19593987 -3.48987985  0.05891075
 -0.63955635 -0.58602989]"
1724430304.4607902,"[ 0.00000000e+00  3.97150399e-05  2.96277370e-01 -3.14156655e+00
 -2.26918928e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  2.97107224e-02 -5.29097849e-06
  1.24526017e-04  0.00000000e+00 -4.76552554e-05  0.00000000e+00]","[ 0.          0.65434194  8.99529362  0.2361971  -3.5429492   0.05780954
 -0.67797559 -0.5904817 ]"
1724430304.4624908,"[ 0.00000000e+00  3.97150399e-05  2.96308130e-01 -3.14156655e+00
 -2.26918928e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  2.90617766e-02 -1.05819570e-05
  1.24526017e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.67420304  9.14567947  0.22491555 -3.54738593  0.05854825
 -0.68099755 -0.58019102]"
1724430304.463602,"[ 0.00000000e+00  3.97150399e-05  2.96361393e-01 -3.14156655e+00
 -2.26918902e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85184257e-05  2.64695534e-02 -1.05820616e-05
  1.27175500e-04  0.00000000e+00 -4.76192757e-05  0.00000000e+00]","[ 0.          0.69848812  9.41988277  0.26144281 -3.5345366   0.05304841
 -0.70535171 -0.5721271 ]"
1724430304.465304,"[ 0.00000000e+00  3.97150399e-05  2.96387126e-01 -3.14156655e+00
 -2.26918848e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  2.61994548e-02 -1.05820616e-05
  1.32474482e-04  0.00000000e+00 -4.76547840e-05  0.00000000e+00]","[ 0.          0.67626375  9.5732336   0.2600781  -3.5533247   0.05467458
 -0.70899338 -0.57764274]"
1724430304.4670208,"[ 0.00000000e+00  3.97150399e-05  2.96442686e-01 -3.14156655e+00
 -2.26918742e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  2.80901368e-02 -1.05819570e-05
  1.43072445e-04  0.00000000e+00 -4.76192757e-05  0.00000000e+00]","[ 0.          0.68848711  9.87679386  0.28450996 -3.56059432  0.0630092
 -0.7186932  -0.59811586]"
1724430304.4681334,"[ 0.00000000e+00  3.97150399e-05  2.96500976e-01 -3.14156655e+00
 -2.26918715e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85324169e-05  3.02509176e-02 -1.58729355e-05
  1.45721936e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.68071002 10.18811798  0.32043293 -3.57589531  0.05908457
 -0.73347759 -0.58399433]"
1724430304.4698572,"[ 0.00000000e+00  3.97150399e-05  2.96534965e-01 -3.14156655e+00
 -2.26918662e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.85325998e-05  3.20983628e-02 -1.58730919e-05
  1.51022414e-04  0.00000000e+00 -4.76547840e-05  0.00000000e+00]","[ 0.          0.7027142  10.31571102  0.3175258  -3.54625559  0.05912297
 -0.74628866 -0.56444865]"
1724430304.4715514,"[ 0.00000000e+00  3.97150399e-05  2.96601544e-01 -3.14156655e+00
 -2.26918609e+00 -1.49137021e-05  9.60561193e-01  1.57078221e+00]","[ 0.00000000e+00  1.32374398e-05  3.45724769e-02 -1.58730919e-05
  1.51136700e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.71617216 10.51817608  0.35332307 -3.48613071  0.07235084
 -0.76570314 -0.57761723]"
1724430304.472689,"[ 0.00000000e+00  3.97150399e-05  2.96636464e-01 -3.14156655e+00
 -2.26918529e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32274462e-05  3.53827707e-02 -1.58729355e-05
  1.58969375e-04  0.00000000e+00 -5.82007654e-05  0.00000000e+00]","[ 0.          0.69418776 10.62120342  0.36855507 -3.46289086  0.07292531
 -0.76417708 -0.59879512]"
1724430304.4743803,"[ 0.00000000e+00  3.97150399e-05  2.96706239e-01 -3.14156655e+00
 -2.26918422e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32374398e-05  3.35713635e-02 -1.58729355e-05
  1.69695653e-04  0.00000000e+00 -5.82013384e-05  0.00000000e+00]","[ 0.          0.70553112 10.79735184  0.37623808 -3.39668345  0.07572945
 -0.76056421 -0.59753418]"
1724430304.4760804,"[ 0.00000000e+00  3.97150399e-05  2.96739296e-01 -3.14156655e+00
 -2.26918396e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32275773e-05  3.34920866e-02 -1.58729355e-05
  1.72216829e-04  0.00000000e+00 -5.82013384e-05  0.00000000e+00]","[ 0.          0.72630179 10.85390282  0.39555019 -3.37094378  0.07219998
 -0.76218754 -0.59920675]"
1724430304.4772122,"[ 0.00000000e+00  3.97150399e-05  2.96809570e-01 -3.14156655e+00
 -2.26918263e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32374398e-05  3.46060473e-02 -1.58730919e-05
  1.95185098e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.73782969 11.00704765  0.39211932 -3.34995627  0.04650863
 -0.79110008 -0.61162436]"
1724430304.4788787,"[ 0.00000000e+00  3.97150399e-05  2.96845389e-01 -3.14156655e+00
 -2.26918209e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32374398e-05  3.61930625e-02 -1.58729355e-05
  2.08431659e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.74277234 11.04333687  0.41360959 -3.31083822  0.04644068
 -0.79283124 -0.61200684]"
1724430304.4805708,"[ 0.00000000e+00  3.97150399e-05  2.96923919e-01 -3.14156655e+00
 -2.26918076e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32274462e-05  4.10964955e-02 -1.85044548e-05
  2.57919414e-04  0.00000000e+00 -4.76192757e-05  0.00000000e+00]","[ 0.          0.73884642 11.08810425  0.41365522 -3.29361486  0.04075542
 -0.80876017 -0.58147418]"
1724430304.4817333,"[ 0.00000000e+00  3.97150399e-05  2.96966596e-01 -3.14156655e+00
 -2.26918023e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32375708e-05  4.31718095e-02 -1.85184257e-05
  2.81007675e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.7463733  11.11626816  0.43719599 -3.28080177  0.02798319
 -0.79117799 -0.56713808]"
1724430304.4834304,"[ 0.00000000e+00  3.97150399e-05  2.97057077e-01 -3.14156655e+00
 -2.26917890e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32374398e-05  4.48361812e-02 -1.85186086e-05
  3.25053213e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.75765502 11.04614925  0.43064669 -3.2438345   0.03843101
 -0.77821279 -0.56635392]"
1724430304.4851258,"[ 0.00000000e+00  3.97150399e-05  2.97100687e-01 -3.14156655e+00
 -2.26917783e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32274462e-05  4.42959881e-02 -1.85186086e-05
  3.55054834e-04  0.00000000e+00 -4.76188043e-05  0.00000000e+00]","[ 0.          0.77516907 10.98471737  0.41539779 -3.22814155  0.04540626
 -0.78166741 -0.58080858]"
1724430304.4868321,"[ 0.00000000e+00  3.97150399e-05  2.97195761e-01 -3.14156602e+00
 -2.26917570e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32574726e-05  4.74889892e-02 -1.32274462e-05
  3.71086076e-04  0.00000000e+00 -4.76192757e-05  0.00000000e+00]","[ 0.          0.79510921 10.89273643  0.41974625 -3.16364455  0.05356027
 -0.79174739 -0.59068644]"
1724430304.488535,"[ 0.00000000e+00  4.01742296e-05  2.97245330e-01 -3.14156602e+00
 -2.26917410e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.85604623e-05  5.02381288e-02 -1.32274462e-05
  3.99865218e-04  0.00000000e+00 -4.76192757e-05  0.00000000e+00]","[ 0.          0.78990197 10.87008953  0.41861552 -3.14883828  0.05743199
 -0.78921503 -0.58815765]"
1724430304.4896498,"[ 0.00000000e+00  4.01742296e-05  2.97358314e-01 -3.14156602e+00
 -2.26917197e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32574726e-05  5.61721344e-02 -1.32275773e-05
  4.59031932e-04  0.00000000e+00 -3.70092754e-05  0.00000000e+00]","[ 0.          0.78556049 10.69852829  0.45385018 -3.12008762  0.03724268
 -0.77237988 -0.58213365]"
1724430304.4913545,"[ 0.00000000e+00  4.01742296e-05  2.97415239e-01 -3.14156602e+00
 -2.26917091e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32574726e-05  5.78008613e-02 -1.32274462e-05
  4.95517271e-04  0.00000000e+00 -3.70368514e-05  0.00000000e+00]","[ 0.          0.79386163 10.58221817  0.41468623 -3.14770889  0.03319455
 -0.77049577 -0.59546834]"
1724430304.4930437,"[ 0.00000000e+00  4.01742296e-05  2.97531420e-01 -3.14156602e+00
 -2.26917011e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.32474486e-05  5.96310647e-02 -1.32274462e-05
  5.96137427e-04  0.00000000e+00 -3.70372172e-05  0.00000000e+00]","[ 0.          0.79892462 10.28485298  0.39733723 -3.12808633  0.03167257
 -0.72819841 -0.62156969]"
1724430304.4941409,"[ 0.00000000e+00  4.06334193e-05  2.97661815e-01 -3.14156602e+00
 -2.26916931e+00 -1.49137021e-05  9.60560260e-01  1.57078221e+00]","[ 0.00000000e+00  1.85604623e-05  6.51384652e-02 -1.32275773e-05
  6.83751526e-04  0.00000000e+00 -3.70372172e-05  0.00000000e+00]","[ 0.          0.82293481 10.00022316  0.42931744 -3.12114978  0.04199229
 -0.72437239 -0.61717081]"
