Time,Position,Velocity,Effort
1724449278.0321949,"[ 0.00000000e+00  1.69346127e-05  2.93318865e-01 -3.14154711e+00
 -2.27050196e+00 -1.91747598e-05  9.60392814e-01  1.57076583e+00]","[ 0.00000000e+00  0.00000000e+00  2.75499417e-02  5.29103081e-06
 -9.72350907e-03 -1.05900569e-05 -1.32474482e-04  0.00000000e+00]","[ 0.          0.59679472  9.8199749   0.15042593 -5.42945766 -0.17842111
 -1.08645511 -0.15743753]"
1724449278.033944,"[ 0.00000000e+00  1.69346127e-05  2.93399692e-01 -3.14154711e+00
 -2.27052433e+00 -1.91747598e-05  9.60392814e-01  1.57076583e+00]","[ 0.00000000e+00  0.00000000e+00  4.48361812e-02  5.29103081e-06
 -1.10627764e-02 -1.05820616e-05 -1.32474482e-04  0.00000000e+00]","[ 0.          0.59540558  9.65156746  0.10786685 -5.38246346 -0.16678087
 -1.06372654 -0.14827193]"
1724449278.0350275,"[ 0.00000000e+00  1.69346127e-05  2.93453388e-01 -3.14154711e+00
 -2.27053631e+00 -1.91747598e-05  9.60392814e-01  1.57076583e+00]","[ 0.00000000e+00  0.00000000e+00  5.06075758e-02  5.29097849e-06
 -1.21543863e-02 -1.05819570e-05 -1.32474482e-04  0.00000000e+00]","[ 0.          0.55909401  9.47544765  0.10996157 -5.3074193  -0.16925587
 -1.0464921  -0.13798423]"
1724449278.036831,"[ 0.00000000e+00  1.73938034e-05  2.93568203e-01 -3.14154711e+00
 -2.27056534e+00 -1.91747598e-05  9.60392814e-01  1.57076583e+00]","[ 0.00000000e+00  5.29897933e-06  6.15198285e-02  5.29097849e-06
 -1.45852636e-02 -1.05819570e-05 -1.32475806e-04  0.00000000e+00]","[ 0.          0.55603147  9.09976768  0.12179049 -5.14356947 -0.16008209
 -0.99126583 -0.14160278]"
1724449278.039206,"[ 0.00000000e+00  1.73938034e-05  2.93702726e-01 -3.14154711e+00
 -2.27059836e+00 -1.91747598e-05  9.60392814e-01  1.57076583e+00]","[ 0.00000000e+00  5.30298914e-06  6.67044122e-02  5.29103081e-06
 -1.72862385e-02 -1.05820616e-05 -1.21877737e-04  0.00000000e+00]","[ 0.          0.56023633  8.70896149  0.13064326 -4.91475821 -0.18919095
 -0.90273136 -0.13905995]"
1724449278.0409634,"[ 0.00000000e+00  1.73938034e-05  2.93836816e-01 -3.14154711e+00
 -2.27063591e+00 -1.91747598e-05  9.60392814e-01  1.57076583e+00]","[ 0.00000000e+00  5.29897933e-06  6.82654241e-02  5.29097849e-06
 -1.86367264e-02 -1.05819570e-05 -1.21876526e-04  0.00000000e+00]","[ 0.          0.55597544  8.27339077  0.10065324 -4.63639927 -0.17280781
 -0.89095271 -0.1528832 ]"
1724449278.0421257,"[ 0.00000000e+00  1.73938034e-05  2.93906158e-01 -3.14154711e+00
 -2.27065402e+00 -1.91747598e-05  9.60393813e-01  1.57076583e+00]","[ 0.00000000e+00  5.30298914e-06  7.02253442e-02  5.29097849e-06
 -1.83666278e-02 -1.05819570e-05 -1.13928053e-04  0.00000000e+00]","[ 0.          0.57976693  8.08924103  0.08150951 -4.51746225 -0.20215398
 -0.84139836 -0.15760498]"
1724449278.0438097,"[ 0.00000000e+00  1.73938034e-05  2.94050801e-01 -3.14154711e+00
 -2.27068891e+00 -1.91747598e-05  9.60393813e-01  1.57076583e+00]","[ 0.00000000e+00  5.30298914e-06  7.04659358e-02  5.29103081e-06
 -1.72862385e-02 -1.05819570e-05 -1.13928053e-04  0.00000000e+00]","[ 0.          0.55165219  7.66684055  0.07297853 -4.21763086 -0.18688446
 -0.81765306 -0.13995044]"
1724449278.0454717,"[ 0.00000000e+00  1.73938034e-05  2.94117846e-01 -3.14154711e+00
 -2.27070622e+00 -1.91747598e-05  9.60393813e-01  1.57076583e+00]","[ 0.00000000e+00  5.30298914e-06  6.80645635e-02  5.29103081e-06
 -1.62999503e-02 -1.05820616e-05 -1.13929191e-04  0.00000000e+00]","[ 0.          0.53685075  7.5029583   0.08169366 -4.16721153 -0.19133054
 -0.79195428 -0.13900551]"
1724449278.0472481,"[ 0.00000000e+00  1.73938034e-05  2.94244579e-01 -3.14154711e+00
 -2.27073472e+00 -1.91747598e-05  9.60393813e-01  1.57076583e+00]","[ 0.00000000e+00  5.30298914e-06  6.32028089e-02  5.29097849e-06
 -1.40450684e-02 -1.05819570e-05 -1.03330098e-04  0.00000000e+00]","[ 0.          0.53593779  7.29237223  0.06043195 -4.06620407 -0.17703152
 -0.75839722 -0.12285333]"
1724449278.0483954,"[ 0.00000000e+00  1.73938034e-05  2.94366286e-01 -3.14154711e+00
 -2.27075815e+00 -1.91747598e-05  9.60393813e-01  1.57076583e+00]","[ 0.00000000e+00  5.30298914e-06  5.78008613e-02  5.29097849e-06
 -1.07728996e-02 -1.05739739e-05 -1.03330098e-04  0.00000000e+00]","[ 0.          0.53279918  7.20172167  0.01834902 -4.08579445 -0.15859166
 -0.75605816 -0.14014515]"
1724449278.0501113,"[ 0.00000000e+00  1.73938034e-05  2.94418617e-01 -3.14154711e+00
 -2.27076694e+00 -1.91747598e-05  9.60393813e-01  1.57076583e+00]","[ 0.00000000e+00  5.30298914e-06  5.29391068e-02  5.29097849e-06
 -8.91321630e-03 -1.05819570e-05 -1.03330098e-04  0.00000000e+00]","[ 0.          0.52041149  7.18376684  0.03286471 -4.12922239 -0.15845892
 -0.78103483 -0.14058508]"
