Time,Position,Velocity,Effort
1723582030.879168,"[ 0.00000000e+00 -8.52211549e-05  2.95415105e-01 -3.14155777e+00
 -2.26920606e+00  5.52678950e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -2.89004307e-02  8.73011481e-05 -2.85624319e-04
  5.30298914e-06  1.14014268e-04 -2.91003827e-05  0.00000000e+00]","[ 0.         -3.5778439   9.6996088  -2.66552901 -3.92653489  0.8170523
 -0.97930682  0.05599198]"
1723582030.8803596,"[ 0.00000000e+00 -1.95476024e-04  2.95415571e-01 -3.14155777e+00
 -2.26920606e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -6.50934910e-02  9.00145929e-05 -2.75237959e-04
  5.29897933e-06  1.21692507e-04 -2.91006692e-05  0.00000000e+00]","[ 0.         -3.50835419  9.73508072 -2.59857988 -3.95134807  0.80915135
 -0.9942084   0.0534637 ]"
1723582030.8820872,"[ 0.00000000e+00 -3.65385702e-04  2.95415571e-01 -3.14155723e+00
 -2.26920606e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -8.88620706e-02  8.73011481e-05 -2.54760194e-04
  5.30293632e-06  1.21784452e-04 -2.91003827e-05  0.00000000e+00]","[ 0.         -3.33435965  9.72689056 -2.49187565 -3.95152545  0.78898287
 -0.99329209  0.0521507 ]"
1723582030.883348,"[ 0.00000000e+00 -4.63390030e-04  2.95416037e-01 -3.14155697e+00
 -2.26920606e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -9.96659659e-02  8.73671094e-05 -2.39474586e-04
  5.30298914e-06  1.21784452e-04 -2.91003827e-05  0.00000000e+00]","[ 0.         -3.20753431  9.68760204 -2.46597195 -3.95559621  0.78703564
 -0.98745     0.05903117]"
1723582030.8849993,"[ 0.00000000e+00 -7.05737689e-04  2.95416504e-01 -3.14155697e+00
 -2.26920606e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -1.23974743e-01  9.00154869e-05 -2.19097941e-04
  5.29897933e-06  1.13756038e-04 -1.85184257e-05  0.00000000e+00]","[ 0.         -2.9669435   9.66617107 -2.25738168 -3.97126579  0.77369469
 -0.98144096  0.07112764]"
1723582030.8867738,"[ 0.00000000e+00 -8.36232582e-04  2.95416504e-01 -3.14155643e+00
 -2.26920606e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -1.32483492e-01  9.00817490e-05 -2.03808155e-04
  5.30298914e-06  1.13843115e-04 -1.85186086e-05  0.00000000e+00]","[ 0.         -2.77668452  9.65419102 -2.13270402 -3.95132709  0.6988762
 -0.98249251  0.03752733]"
1723582030.8885188,"[ 0.00000000e+00 -1.12278872e-03  2.95416936e-01 -3.14155564e+00
 -2.26920606e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -1.49093811e-01  9.01508150e-05 -1.57721993e-04
  5.30304197e-06  1.13756038e-04 -1.85184257e-05  0.00000000e+00]","[ 0.         -2.44203925  9.62521839 -1.8773433  -3.95748854  0.66034448
 -0.97715205  0.0377274 ]"
1723582030.8896523,"[ 0.00000000e+00 -1.28843734e-03  2.95416936e-01 -3.14155510e+00
 -2.26920606e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -1.55977983e-01  8.74331602e-05 -1.42458572e-04
  1.05979587e-05  1.13756038e-04 -1.85184257e-05  0.00000000e+00]","[ 0.         -2.29418278  9.56670666 -1.75880349 -3.92943501  0.68866789
 -0.98178864  0.06770851]"
1723582030.8913748,"[ 0.00000000e+00 -1.61760405e-03  2.95417402e-01 -3.14155404e+00
 -2.26920580e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -1.69989006e-01  9.01508150e-05 -1.01904078e-04
  1.32574726e-05  1.13841985e-04 -1.85184257e-05  0.00000000e+00]","[ 0.         -1.88474178  9.48620129 -1.56157279 -3.90116835  0.61980563
 -0.96613675  0.04195529]"
1723582030.8931272,"[ 0.00000000e+00 -1.98245712e-03  2.95417402e-01 -3.14155271e+00
 -2.26920580e+00  5.62191981e-05  9.59922034e-01  1.57088767e+00]","[ 0.00000000e+00 -1.80553284e-01  8.75001943e-05 -6.10536751e-05
  1.32475806e-05  1.13757160e-04 -1.85186086e-05  0.00000000e+00]","[ 0.         -1.58946586  9.43968105 -1.27900743 -3.86641574  0.5924021
 -0.96914184  0.04515217]"
