Time,Position,Velocity,Effort
1723668298.4230072,"[ 0.00000000e+00 -6.17853373e-05  3.03174858e-01 -3.14151249e+00
 -2.27695426e+00 -3.14253009e-05  9.60035085e-01  1.57079073e+00]","[ 0.00000000e+00  1.40210929e-04  1.46311008e-01  2.38096379e-05
 -1.30727179e-01 -1.21600701e-04  7.67199429e-05  1.05819570e-05]","[ 0.         -0.20689085 11.53437424 -0.07298461 -5.61460161 -0.15429257
 -0.71094197  0.16226862]"
1723668298.4246306,"[ 0.00000000e+00 -6.17853373e-05  3.03323196e-01 -3.14151303e+00
 -2.27708476e+00 -3.14253009e-05  9.60035085e-01  1.57079073e+00]","[ 0.00000000e+00  1.37565437e-04  1.50444300e-01  1.85186086e-05
 -1.32213664e-01 -1.21693710e-04  7.67191870e-05  1.05819570e-05]","[ 0.         -0.21794692 11.67640114 -0.15363573 -5.61893988 -0.15982568
 -0.70735407  0.15572971]"
1723668298.4263566,"[ 0.00000000e+00 -6.23179695e-05  3.03641410e-01 -3.14151303e+00
 -2.27735693e+00 -3.14253009e-05  9.60035085e-01  1.57079073e+00]","[ 0.00000000e+00  1.26984735e-04  1.56981062e-01  1.32274462e-05
 -1.32656515e-01 -1.13670222e-04  7.67191870e-05  1.05819570e-05]","[ 0.         -0.26368293 11.8307085  -0.17904165 -5.53785086 -0.13386354
 -0.70551604  0.16611068]"
1723668298.428671,"[ 0.00000000e+00 -6.23179695e-05  3.03964685e-01 -3.14151356e+00
 -2.27761952e+00 -3.14253009e-05  9.60035085e-01  1.57079073e+00]","[ 0.00000000e+00  1.27079427e-04  1.65839851e-01  7.93646773e-06
 -1.33023140e-01 -1.13757160e-04  7.67199429e-05  1.05819570e-05]","[ 0.         -0.34326407 11.93872738 -0.21763407 -5.44682789 -0.10535185
 -0.69752127  0.19785826]"
1723668298.430425,"[ 0.00000000e+00 -6.23179695e-05  3.04305869e-01 -3.14151382e+00
 -2.27788690e+00 -3.14253009e-05  9.60035085e-01  1.57079073e+00]","[ 0.00000000e+00  1.24339227e-04  1.74753069e-01  0.00000000e+00
 -1.35859032e-01 -1.03174077e-04  7.67191870e-05  1.05819570e-05]","[ 0.         -0.42187816 11.95697975 -0.21873696 -5.33805275 -0.07838434
 -0.69777089  0.19549862]"
1723668298.4315064,"[ 0.00000000e+00 -6.23179695e-05  3.04675050e-01 -3.14151382e+00
 -2.27816707e+00 -3.14253009e-05  9.60035085e-01  1.57079073e+00]","[ 0.00000000e+00  1.19136960e-04  1.82045703e-01 -2.64548924e-06
 -1.36939419e-01 -1.03174077e-04  7.67191870e-05  1.05740785e-05]","[ 0.         -0.5412401  11.8926878  -0.29456371 -5.24872065 -0.08866168
 -0.70542979  0.19819708]"
1723668298.434222,"[ 0.00000000e+00 -6.23179695e-05  3.04859174e-01 -3.14151382e+00
 -2.27830156e+00 -3.14253009e-05  9.60035085e-01  1.57079167e+00]","[ 0.00000000e+00  1.19047015e-04  1.86637359e-01 -2.64548924e-06
 -1.36399221e-01 -9.52376087e-05  7.67199429e-05  1.85184257e-05]","[ 0.         -0.56132072 11.7293787  -0.35066062 -5.19696093 -0.06997062
 -0.70509619  0.20173474]"
1723668298.4359348,"[ 0.00000000e+00 -6.28506017e-05  3.05442806e-01 -3.14151489e+00
 -2.27871754e+00 -3.14253009e-05  9.60035085e-01  1.57079167e+00]","[ 0.00000000e+00  1.08547010e-04  1.95352437e-01 -1.85186086e-05
 -1.37340324e-01 -9.51657631e-05  7.67191870e-05  1.85184257e-05]","[ 0.         -0.67144156 11.48980808 -0.44123963 -5.15631723 -0.04434336
 -0.64901519  0.1931989 ]"
1723668298.4378216,"[ 0.00000000e+00 -6.33832339e-05  3.05836321e-01 -3.14151516e+00
 -2.27900356e+00 -3.14253009e-05  9.60035085e-01  1.57079167e+00]","[ 0.00000000e+00  1.00529585e-04  2.00142232e-01 -2.64548924e-05
 -1.40430332e-01 -8.46556558e-05  7.67191870e-05  1.85184257e-05]","[ 0.         -0.75855398 11.21918488 -0.52344716 -5.13438511 -0.03102333
 -0.64714652  0.20628744]"
1723668298.4393501,"[ 0.00000000e+00 -6.33832339e-05  3.06050306e-01 -3.14151516e+00
 -2.27914232e+00 -3.03600364e-05  9.60035085e-01  1.57079167e+00]","[ 0.00000000e+00  9.52376087e-05  2.01617839e-01 -2.64548924e-05
 -1.40720783e-01 -7.66613124e-05  6.61372301e-05  1.85184257e-05]","[ 0.         -0.77661985 11.02999496 -0.54659593 -5.10629702 -0.01910464
 -0.64115137  0.22550462]"
1723668298.441035,"[ 0.00000000e+00 -6.33832339e-05  3.06454873e-01 -3.14151569e+00
 -2.27942381e+00 -3.03600364e-05  9.60036017e-01  1.57079167e+00]","[ 0.00000000e+00  9.52376087e-05  2.06354471e-01 -3.17461838e-05
 -1.42881572e-01 -7.67199429e-05  7.40744343e-05  1.85184257e-05]","[ 0.         -0.87659627 10.70013905 -0.66163909 -5.09654474  0.01255572
 -0.62056315  0.23448603]"
1723668298.442198,"[ 0.00000000e+00 -6.33832339e-05  3.06674351e-01 -3.14151569e+00
 -2.27957907e+00 -3.03600364e-05  9.60036017e-01  1.57079167e+00]","[ 0.00000000e+00  9.52376087e-05  2.06438827e-01 -3.70651995e-05
 -1.46198006e-01 -6.61378843e-05  7.40737029e-05  1.85184257e-05]","[ 0.         -0.91525757 10.64043522 -0.71352172 -5.08922386  0.02661485
 -0.59730154  0.23011158]"
1723668298.4439695,"[ 0.00000000e+00 -6.33832339e-05  3.07081182e-01 -3.14151675e+00
 -2.27987335e+00 -3.03600364e-05  9.60036017e-01  1.57079167e+00]","[ 0.00000000e+00  9.00154869e-05  2.06894660e-01 -4.76188043e-05
 -1.49904095e-01 -6.61372301e-05  7.40737029e-05  1.85186086e-05]","[ 0.         -0.98468912 10.38400078 -0.77194345 -5.09015751  0.03443845
 -0.60341698  0.24459009]"
1723668298.4456656,"[ 0.00000000e+00 -6.33832339e-05  3.07284149e-01 -3.14151675e+00
 -2.28002356e+00 -3.03600364e-05  9.60036949e-01  1.57079167e+00]","[ 0.00000000e+00  8.20109762e-05  2.05814282e-01 -5.02642966e-05
 -1.52334978e-01 -6.61372301e-05  8.46564929e-05  1.85186086e-05]","[ 0.         -1.02262294 10.20501518 -0.83562386 -5.0540061   0.0632238
 -0.58718878  0.25843206]"
